Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Notes
INV1_Grid_input_AC_voltage,INV1_Grid_input_AC_voltage,V,0.00-2000.00,>H,TRUE,40641,
INV1_Output_AC_Voltage,INV1_Output_AC_Voltage,V,1 through 13,>H,TRUE,40643,
INV1__operating_mode,INV1__operating_mode,V,0.00 to 100.00 (20 default),>H,TRUE,40644,
INV1_Error_flags,INV1_Error_flags,V,0.00-2000.00,>H,TRUE,40645,
INV1_Warning_flags,INV1_Warning_flags,V,1000.00 (default),>H,TRUE,40646,
INV1_AC_input_frequency,INV1_AC_input_frequency,V,0.00-2000.00,>H,TRUE,40659,
INV1_AC_input_voltage,INV1_AC_input_voltage,V,1000.00 (default),>H,TRUE,40660,
INV1_AC_input_state,INV1_AC_input_state,V,1 through 13,>H,TRUE,40661,
INV1_Sell_state,INV1_Sell_state,V,0.00 to 100.00 (20 default),>H,TRUE,40664,
INV1_Output_kW,INV1_Output_kW,V,1 through 13,>H,TRUE,40672,
INV1_Buy_kW,INV1_Buy_kW,V,0.00 to 100.00 (20 default),>H,TRUE,40673,
INV1_Sell_kW,INV1_Sell_kW,V,0.00-2000.00,>H,TRUE,40674,
INV1_Charge_kW,INV1_Charge_kW,V,1000.00 (default),>H,TRUE,40675,
INV1_Load_kW,INV1_Load_kW,V,1 through 13,>H,TRUE,40676,
INV1_GSconfig_Grid_Input_Mode,INV1_GSconfig_Grid_Input_Mode,,1000.00 (default),>H,TRUE,40704,
INV1_GSconfig_Sell_Volts,INV1_GSconfig_Sell_Volts,,1000.00 (default),>H,TRUE,40732,
INV1_GSconfig_Mini_Grid_LBX_Volts,INV1_GSconfig_Mini_Grid_LBX_Volts,,1000.00 (default),>H,TRUE,40740,
INV1_GSconfig_Grid_Zero_DoD_Volts,INV1_GSconfig_Grid_Zero_DoD_Volts,,1000.00 (default),>H,TRUE,40742,
INV1_GSconfig_Grid_Zero_DoD_Max_Offset_AC_Amps,INV1_GSconfig_Grid_Zero_DoD_Max_Offset_AC_Amps,,1000.00 (default),>H,TRUE,40743,
INV2_Grid_input_AC_voltage,INV2_Grid_input_AC_voltage,V,0.00-2000.00,>H,TRUE,40897,
INV2_Output_AC_Voltage,INV2_Output_AC_Voltage,V,1 through 13,>H,TRUE,40899,
INV2__operating_mode,INV2__operating_mode,V,0.00 to 100.00 (20 default),>H,TRUE,40900,
INV2_Error_flags,INV2_Error_flags,V,0.00-2000.00,>H,TRUE,40901,
INV2_Warning_flags,INV2_Warning_flags,V,1000.00 (default),>H,TRUE,40902,
INV2_AC_input_frequency,INV2_AC_input_frequency,V,0.00-2000.00,>H,TRUE,40915,
INV2_AC_input_voltage,INV2_AC_input_voltage,V,1000.00 (default),>H,TRUE,40916,
INV2_AC_input_state,INV2_AC_input_state,V,1 through 13,>H,TRUE,40917,
INV2_Sell_state,INV2_Sell_state,V,0.00 to 100.00 (20 default),>H,TRUE,40920,
INV2_Output_kW,INV2_Output_kW,V,1 through 13,>H,TRUE,40928,
INV2_Buy_kW,INV2_Buy_kW,V,0.00 to 100.00 (20 default),>H,TRUE,40929,
INV2_Sell_kW,INV2_Sell_kW,V,0.00-2000.00,>H,TRUE,40930,
INV2_Charge_kW,INV2_Charge_kW,V,1000.00 (default),>H,TRUE,40931,
INV2_GSconfig_Grid_Input_Mode,INV2_GSconfig_Grid_Input_Mode,,1000.00 (default),>H,TRUE,40960,
INV2_GSconfig_Sell_Volts,INV2_GSconfig_Sell_Volts,,1000.00 (default),>H,TRUE,40988,
INV2_GSconfig_Mini_Grid_LBX_Volts,INV2_GSconfig_Mini_Grid_LBX_Volts,,1000.00 (default),>H,TRUE,40996,
INV2_GSconfig_Grid_Zero_DoD_Volts,INV2_GSconfig_Grid_Zero_DoD_Volts,,1000.00 (default),>H,TRUE,40998,
