Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Default Values, Notes
Flag_VoltToMat,Flag_VoltToMat,W,0.00-2000.00,>f,TRUE,0,,Reading 0.00-2000.0 W
GAMSHourFlag,GAMSHourFlag,W,0.00-2000.00,>f,TRUE,341,,Reading 0.00-2000.0 W
Flag_MattoVolt,Flag_MattoVolt,W,0.00-2000.00,>f,TRUE,100,,Reading 0.00-2000.0 W
Solar_1,Solar_1,W,0.00-2000.00,>f,TRUE,102,,Reading 0.00-2000.0 W
Solar_2,Solar_2,W,0.00-2000.00,>f,TRUE,104,,Reading 0.00-2000.0 W
Solar_3,Solar_3,W,0.00-2000.00,>f,TRUE,106,,Reading 0.00-2000.0 W
Solar_4,Solar_4,W,0.00-2000.00,>f,TRUE,108,,Reading 0.00-2000.0 W
Solar_5,Solar_5,W,0.00-2000.00,>f,TRUE,110,,Reading 0.00-2000.0 W
Solar_6,Solar_6,W,0.00-2000.00,>f,TRUE,112,,Reading 0.00-2000.0 W
Solar_7,Solar_7,W,0.00-2000.00,>f,TRUE,114,,Reading 0.00-2000.0 W
Solar_8,Solar_8,W,0.00-2000.00,>f,TRUE,116,,Reading 0.00-2000.0 W
Solar_9,Solar_9,W,0.00-2000.00,>f,TRUE,118,,Reading 0.00-2000.0 W
Solar_10,Solar_10,W,0.00-2000.00,>f,TRUE,120,,Reading 0.00-2000.0 W
Solar_11,Solar_11,W,0.00-2000.00,>f,TRUE,122,,Reading 0.00-2000.0 W
Solar_12,Solar_12,W,0.00-2000.00,>f,TRUE,124,,Reading 0.00-2000.0 W
Solar_13,Solar_13,W,0.00-2000.00,>f,TRUE,126,,Reading 0.00-2000.0 W
Solar_14,Solar_14,W,0.00-2000.00,>f,TRUE,128,,Reading 0.00-2000.0 W
Solar_15,Solar_15,W,0.00-2000.00,>f,TRUE,130,,Reading 0.00-2000.0 W
Solar_16,Solar_16,W,0.00-2000.00,>f,TRUE,132,,Reading 0.00-2000.0 W
Solar_17,Solar_17,W,0.00-2000.00,>f,TRUE,134,,Reading 0.00-2000.0 W
Solar_18,Solar_18,W,0.00-2000.00,>f,TRUE,136,,Reading 0.00-2000.0 W
Solar_19,Solar_19,W,0.00-2000.00,>f,TRUE,138,,Reading 0.00-2000.0 W
Solar_20,Solar_20,W,0.00-2000.00,>f,TRUE,140,,Reading 0.00-2000.0 W
Solar_21,Solar_21,W,0.00-2000.00,>f,TRUE,142,,Reading 0.00-2000.0 W
Solar_22,Solar_22,W,0.00-2000.00,>f,TRUE,144,,Reading 0.00-2000.0 W
Solar_23,Solar_23,W,0.00-2000.00,>f,TRUE,146,,Reading 0.00-2000.0 W
Solar_24,Solar_24,W,0.00-2000.00,>f,TRUE,148,,Reading 0.00-2000.0 W
Battery_1,Battery_1,W,0.00-2000.00,>f,TRUE,150,,Reading 0.00-2000.0 W
Battery_2,Battery_2,W,0.00-2000.00,>f,TRUE,152,,Reading 0.00-2000.0 W
Battery_3,Battery_3,W,0.00-2000.00,>f,TRUE,154,,Reading 0.00-2000.0 W
