Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Notes
L4S1,L4S1,on/off,0.00-2000.00,BOOL,TRUE,0,CO2 Reading 0.00-2000.0 
L4s2,L4S1,on/off,0.00-2000.00,BOOL,TRUE,1,CO2 Reading 0.00-2000.0
L4S3,L4S3,on/off,0.00-2000.00,BOOL,TRUE,2,CO2 Reading 0.00-2000.0
L4s4,L4S4,on/off,0.00-2000.00,BOOL,TRUE,3,CO2 Reading 0.00-2000.0
L4S5,L4S5,on/off,0.00-2000.00,BOOL,TRUE,4,CO2 Reading 0.00-2000.0
L4s6,L4S6,on/off,0.00-2000.00,BOOL,TRUE,5,CO2 Reading 0.00-2000.0
L4S7,L4S7,on/off,0.00-2000.00,BOOL,TRUE,6,CO2 Reading 0.00-2000.0
L4s8,L4S8,on/off,0.00-2000.00,BOOL,TRUE,7,CO2 Reading 0.00-2000.0
L4S9,L4S9,on/off,0.00-2000.00,BOOL,TRUE,8,CO2 Reading 0.00-2000.0
L4S10,L4S10,on/off,0.00-2000.00,BOOL,TRUE,9,CO2 Reading 0.00-2000.0
L4S11,L4S11,on/off,0.00-2000.00,BOOL,TRUE,10,CO2 Reading 0.00-2000.0
L4s12,L4S12,on/off,0.00-2000.00,BOOL,TRUE,11,CO2 Reading 0.00-2000.0
L4S13,L4S13,on/off,0.00-2000.00,BOOL,TRUE,12,CO2 Reading 0.00-2000.0
L4s14,L4S14,on/off,0.00-2000.00,BOOL,TRUE,13,CO2 Reading 0.00-2000.0
L4S15,L4S15,on/off,0.00-2000.00,BOOL,TRUE,14,CO2 Reading 0.00-2000.0
L4s16,L4S16,on/off,0.00-2000.00,BOOL,TRUE,15,CO2 Reading 0.00-2000.0

