Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Notes
Pset,Pset,Kw,0.00-2000.00,>h,TRUE,0,CO2 Reading 0.00-2000.0
C1,C1,Kw,0.00-2000.00,>h,TRUE,1,CO2 Reading 0.00-2000.0
C2,C2,Kw,0.00-2000.00,>h,TRUE,2,CO2 Reading 0.00-2000.0
C3,C3,Kw,0.00-2000.00,>h,TRUE,3,CO2 Reading 0.00-2000.0
C4,C4,Kw,0.00-2000.00,>h,TRUE,4,CO2 Reading 0.00-2000.0
C5,C5,Kw,0.00-2000.00,>h,TRUE,5,CO2 Reading 0.00-2000.0
C6,C6,Kw,0.00-2000.00,>h,TRUE,6,CO2 Reading 0.00-2000.0
C7,C7,Kw,0.00-2000.00,>h,TRUE,7,CO2 Reading 0.00-2000.0


