Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Notes
I1P,C1P,Kw,0.00-2000.00,>h,TRUE,115,CO2 Reading 0.00-2000.0
I1Q,C1Q,Kw,0.00-2000.00,>h,TRUE,116,CO2 Reading 0.00-2000.0
I1Vrms,C1Vrms,Kw,0.00-2000.00,>h,TRUE,117,CO2 Reading 0.00-2000.0
I1Freq,C1Freq,Kw,0.00-2000.00,>h,TRUE,118,CO2 Reading 0.00-2000.0
PIT1,PIT1,Kw,0.00-2000.00,>h,TRUE,119,CO2 Reading 0.00-2000.0
PIT2,PIT2,Kw,0.00-2000.00,>h,TRUE,120,CO2 Reading 0.00-2000.0
PIT3,PIT3,Kw,0.00-2000.00,>h,TRUE,121,CO2 Reading 0.00-2000.0
PIT4,PIT4,Kw,0.00-2000.00,>h,TRUE,122,CO2 Reading 0.00-2000.0
PIT5,PIT5,Kw,0.00-2000.00,>h,TRUE,123,CO2 Reading 0.00-2000.0
PIT6,PIT6,Kw,0.00-2000.00,>h,TRUE,124,CO2 Reading 0.00-2000.0
PIT7,PIT7,Kw,0.00-2000.00,>h,TRUE,125,CO2 Reading 0.00-2000.0
PIT8,PIT8,Kw,0.00-2000.00,>h,TRUE,126,CO2 Reading 0.00-2000.0
PIT9,PIT9,Kw,0.00-2000.00,>h,TRUE,127,CO2 Reading 0.00-2000.0
PIT10,PIT10,Kw,0.00-2000.00,>h,TRUE,128,CO2 Reading 0.00-2000.0
AheadPIT1,AheadPIT1,Kw,0.00-2000.00,>h,TRUE,129,CO2 Reading 0.00-2000.0
AheadPIT2,AheadPIT2,Kw,0.00-2000.00,>h,TRUE,130,CO2 Reading 0.00-2000.0
AheadPIT3,AheadPIT3,Kw,0.00-2000.00,>h,TRUE,131,CO2 Reading 0.00-2000.0
AheadPIT4,AheadPIT4,Kw,0.00-2000.00,>h,TRUE,132,CO2 Reading 0.00-2000.0
AheadPIT5,AheadPIT5,Kw,0.00-2000.00,>h,TRUE,133,CO2 Reading 0.00-2000.0
AheadPIT6,AheadPIT6,Kw,0.00-2000.00,>h,TRUE,134,CO2 Reading 0.00-2000.0
AheadPIT7,AheadPIT7,Kw,0.00-2000.00,>h,TRUE,135,CO2 Reading 0.00-2000.0
AheadPIT8,AheadPIT8,Kw,0.00-2000.00,>h,TRUE,136,CO2 Reading 0.00-2000.0
AheadPIT9,AheadPIT9,Kw,0.00-2000.00,>h,TRUE,137,CO2 Reading 0.00-2000.0
AheadPIT10,AheadPIT10,Kw,0.00-2000.00,>h,TRUE,138,CO2 Reading 0.00-2000.0
CMDIT1,CMDIT1,Kw,0.00-2000.00,>h,TRUE,139,CO2 Reading 0.00-2000.0
CMDIT2,CMDIT2,Kw,0.00-2000.00,>h,TRUE,140,CO2 Reading 0.00-2000.0
CMDIT3,CMDIT3,Kw,0.00-2000.00,>h,TRUE,141,CO2 Reading 0.00-2000.0
CMDIT4,CMDIT4,Kw,0.00-2000.00,>h,TRUE,142,CO2 Reading 0.00-2000.0
CMDIT5,CMDIT5,Kw,0.00-2000.00,>h,TRUE,143,CO2 Reading 0.00-2000.0
CMDIT6,CMDIT6,Kw,0.00-2000.00,>h,TRUE,144,CO2 Reading 0.00-2000.0
CMDIT7,CMDIT7,Kw,0.00-2000.00,>h,TRUE,145,CO2 Reading 0.00-2000.0
CMDIT8,CMDIT8,Kw,0.00-2000.00,>h,TRUE,146,CO2 Reading 0.00-2000.0
CMDIT9,CMDIT9,Kw,0.00-2000.00,>h,TRUE,147,CO2 Reading 0.00-2000.0
CMDIT10,CMDIT10,Kw,0.00-2000.00,>h,TRUE,148,CO2 Reading 0.00-2000.0
CMDIBRK,CMDIBRK,Kw,0.00-2000.00,>h,TRUE,149,CO2 Reading 0.00-2000.0
P-IUT,P-IUT,Kw,0.00-2000.00,>h,TRUE,150,CO2 Reading 0.00-2000.0
Ahead-IUT,Ahead-IUT,Kw,0.00-2000.00,>h,TRUE,151,CO2 Reading 0.00-2000.0
Fcst-IBuilding,Fcst-IBuilding,Kw,0.00-2000.00,>h,TRUE,152,CO2 Reading 0.00-2000.0
CMDIT10_P,CMDIT10_P,Kw,0.00-2000.00,>h,TRUE,153,CO2 Reading 0.00-2000.0
SIT1,SIT1,Kw,0.00-2000.00,>h,TRUE,154,CO2 Reading 0.00-2000.0
SIT2,SIT2,Kw,0.00-2000.00,>h,TRUE,155,CO2 Reading 0.00-2000.0
SIT3,SIT3,Kw,0.00-2000.00,>h,TRUE,156,CO2 Reading 0.00-2000.0
SIT4,SIT4,Kw,0.00-2000.00,>h,TRUE,157,CO2 Reading 0.00-2000.0
SIT5,SIT5,Kw,0.00-2000.00,>h,TRUE,158,CO2 Reading 0.00-2000.0
SIT6,SIT6,Kw,0.00-2000.00,>h,TRUE,159,CO2 Reading 0.00-2000.0
SIT7,SIT7,Kw,0.00-2000.00,>h,TRUE,160,CO2 Reading 0.00-2000.0
SIT8,SIT8,Kw,0.00-2000.00,>h,TRUE,161,CO2 Reading 0.00-2000.0
SIT9,SIT9,Kw,0.00-2000.00,>h,TRUE,162,CO2 Reading 0.00-2000.0
SIT10,SIT10,Kw,0.00-2000.00,>h,TRUE,163,CO2 Reading 0.00-2000.0
SIBKR,SIBKR,Kw,0.00-2000.00,>h,TRUE,164,CO2 Reading 0.00-2000.0
SIT10_P,SIT10_P,Kw,0.00-2000.00,>h,TRUE,165,CO2 Reading 0.00-2000.0
