Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Notes
L4P,L4P,Kw,0.00-2000.00,>h,TRUE,166,CO2 Reading 0.00-2000.0
L4Q,L4Q,Kw,0.00-2000.00,>h,TRUE,167,CO2 Reading 0.00-2000.0
L4Vrms,L4Vrms,Kw,0.00-2000.00,>h,TRUE,168,CO2 Reading 0.00-2000.0
L4Freq,L4Freq,Kw,0.00-2000.00,>h,TRUE,169,CO2 Reading 0.00-2000.0
L4PT1,L4PT1,Kw,0.00-2000.00,>h,TRUE,170,CO2 Reading 0.00-2000.0
L4PT2,L4PT2,Kw,0.00-2000.00,>h,TRUE,171,CO2 Reading 0.00-2000.0
L4PT3,L4PT3,Kw,0.00-2000.00,>h,TRUE,172,CO2 Reading 0.00-2000.0
L4PT4,L4PT4,Kw,0.00-2000.00,>h,TRUE,173,CO2 Reading 0.00-2000.0
L4PT5,L4PT5,Kw,0.00-2000.00,>h,TRUE,174,CO2 Reading 0.00-2000.0
L4PT6,L4PT6,Kw,0.00-2000.00,>h,TRUE,175,CO2 Reading 0.00-2000.0
L4PT7,L4PT7,Kw,0.00-2000.00,>h,TRUE,176,CO2 Reading 0.00-2000.0
AheadL4PT1,AheadL4PT1,Kw,0.00-2000.00,>h,TRUE,177,CO2 Reading 0.00-2000.0
AheadL4PT2,AheadL4PT2,Kw,0.00-2000.00,>h,TRUE,178,CO2 Reading 0.00-2000.0
AheadL4PT3,AheadL4PT3,Kw,0.00-2000.00,>h,TRUE,179,CO2 Reading 0.00-2000.0
AheadL4PT4,AheadL4PT4,Kw,0.00-2000.00,>h,TRUE,180,CO2 Reading 0.00-2000.0
AheadL4PT5,AheadL4PT5,Kw,0.00-2000.00,>h,TRUE,181,CO2 Reading 0.00-2000.0
AheadL4PT6,AheadL4PT6,Kw,0.00-2000.00,>h,TRUE,182,CO2 Reading 0.00-2000.0
AheadL4PT7,AheadL4PT7,Kw,0.00-2000.00,>h,TRUE,183,CO2 Reading 0.00-2000.0
CMDL4T1,CMDL4T1,Kw,0.00-2000.00,>h,TRUE,184,CO2 Reading 0.00-2000.0
CMDL4T2,CMDL4T2,Kw,0.00-2000.00,>h,TRUE,185,CO2 Reading 0.00-2000.0
CMDL4T3,CMDL4T3,Kw,0.00-2000.00,>h,TRUE,186,CO2 Reading 0.00-2000.0
CMDL4T4,CMDL4T4,Kw,0.00-2000.00,>h,TRUE,187,CO2 Reading 0.00-2000.0
CMDL4T5,CMDL4T5,Kw,0.00-2000.00,>h,TRUE,188,CO2 Reading 0.00-2000.0
CMDL4T6,CMDL4T6,Kw,0.00-2000.00,>h,TRUE,189,CO2 Reading 0.00-2000.0
CMDL4T7,CMDL4T7,Kw,0.00-2000.00,>h,TRUE,190,CO2 Reading 0.00-2000.0
SL4T1,SL4T1,Kw,0.00-2000.00,>h,TRUE,191,CO2 Reading 0.00-2000.0
SL4T2,SL4T2,Kw,0.00-2000.00,>h,TRUE,192,CO2 Reading 0.00-2000.0
SL4T3,SL4T3,Kw,0.00-2000.00,>h,TRUE,193,CO2 Reading 0.00-2000.0
SL4T4,SL4T4,Kw,0.00-2000.00,>h,TRUE,194,CO2 Reading 0.00-2000.0
SL4T5,SL4T5,Kw,0.00-2000.00,>h,TRUE,195,CO2 Reading 0.00-2000.0
SL4T6,SL4T6,Kw,0.00-2000.00,>h,TRUE,196,CO2 Reading 0.00-2000.0
SL4T7,SL4T7,Kw,0.00-2000.00,>h,TRUE,197,CO2 Reading 0.00-2000.0
