Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Notes
Enable,Enable,N/A,0-1,>h,TRUE,0,Enable_control Reading 0.00-2000.0
Threshold,Threshold,Kw,0.00-2000.00,>h,TRUE,1,CO2 Reading 0.00-2000.0
Trigger,Trigger,Kw,0.00-2000.00,>h,TRUE,2,CO2 Reading 0.00-2000.0
Day,Day,Kw,0.00-2000.00,>h,TRUE,3,CO2 Reading 0.00-2000.0
Hour,Hour,Kw,0.00-2000.00,>h,TRUE,4,CO2 Reading 0.00-2000.0
Minute,Minute,Kw,0.00-2000.00,>h,TRUE,5,CO2 Reading 0.00-2000.0
Second,Second,Kw,0.00-2000.00,>h,TRUE,6,CO2 Reading 0.00-2000.0
Generation,Generation,Kw,0.00-2000.00,>h,TRUE,7,CO2 Reading 0.00-2000.0
Load,Load,Kw,0.00-2000.00,>h,TRUE,8,CO2 Reading 0.00-2000.0
ATS,ATS,N/A,0.00-2000.00,>h,TRUE,9,CO2 Reading 0.00-2000.0
PV_Shed_En,PV_Shed_En,Kw,0.00-2000.00,>h,TRUE,10,CO2 Reading 0.00-2000.0
PV_Follow_En,PV_Follow_En,Kw,0.00-2000.00,>h,TRUE,11,CO2 Reading 0.00-2000.0
PV_Shed,PV_Shed,Kw,0.00-2000.00,>h,TRUE,12,CO2 Reading 0.00-2000.0
C1P,C1P,Kw,0.00-2000.00,>h,TRUE,13,CO2 Reading 0.00-2000.0
C1Q,C1Q,Kw,0.00-2000.00,>h,TRUE,14,CO2 Reading 0.00-2000.0
C1Vrms,C1Vrms,Kw,0.00-2000.00,>h,TRUE,15,CO2 Reading 0.00-2000.0
C1Freq,C1Freq,Kw,0.00-2000.00,>h,TRUE,16,CO2 Reading 0.00-2000.0
PCT1,PCT1,Kw,0.00-2000.00,>h,TRUE,17,CO2 Reading 0.00-2000.0
PCT2,PCT2,Kw,0.00-2000.00,>h,TRUE,18,CO2 Reading 0.00-2000.0
PCT3,PCT3,Kw,0.00-2000.00,>h,TRUE,19,CO2 Reading 0.00-2000.0
PCT4,PCT4,Kw,0.00-2000.00,>h,TRUE,20,CO2 Reading 0.00-2000.0
PCT5,PCT5,Kw,0.00-2000.00,>h,TRUE,21,CO2 Reading 0.00-2000.0
PCT6,PCT6,Kw,0.00-2000.00,>h,TRUE,22,CO2 Reading 0.00-2000.0
PCT7,PCT7,Kw,0.00-2000.00,>h,TRUE,23,CO2 Reading 0.00-2000.0
PCT8,PCT8,Kw,0.00-2000.00,>h,TRUE,24,CO2 Reading 0.00-2000.0
PCT9,PCT9,Kw,0.00-2000.00,>h,TRUE,25,CO2 Reading 0.00-2000.0
PCT10,PCT10,Kw,0.00-2000.00,>h,TRUE,26,CO2 Reading 0.00-2000.0
AheadPCT1,AheadPCT1,Kw,0.00-2000.00,>h,TRUE,27,CO2 Reading 0.00-2000.0
AheadPCT2,AheadPCT2,Kw,0.00-2000.00,>h,TRUE,28,CO2 Reading 0.00-2000.0
AheadPCT3,AheadPCT3,Kw,0.00-2000.00,>h,TRUE,29,CO2 Reading 0.00-2000.0
AheadPCT4,AheadPCT4,Kw,0.00-2000.00,>h,TRUE,30,CO2 Reading 0.00-2000.0
AheadPCT5,AheadPCT5,Kw,0.00-2000.00,>h,TRUE,31,CO2 Reading 0.00-2000.0
AheadPCT6,AheadPCT6,Kw,0.00-2000.00,>h,TRUE,32,CO2 Reading 0.00-2000.0
AheadPCT7,AheadPCT7,Kw,0.00-2000.00,>h,TRUE,33,CO2 Reading 0.00-2000.0
AheadPCT8,AheadPCT8,Kw,0.00-2000.00,>h,TRUE,34,CO2 Reading 0.00-2000.0
AheadPCT9,AheadPCT9,Kw,0.00-2000.00,>h,TRUE,35,CO2 Reading 0.00-2000.0
AheadPCT10,AheadPCT10,Kw,0.00-2000.00,>h,TRUE,36,CO2 Reading 0.00-2000.0
CMDCT1,CMDCT1,Kw,0.00-2000.00,>h,TRUE,37,CO2 Reading 0.00-2000.0
CMDCT2,CMDCT2,Kw,0.00-2000.00,>h,TRUE,38,CO2 Reading 0.00-2000.0
CMDCT3,CMDCT3,Kw,0.00-2000.00,>h,TRUE,39,CO2 Reading 0.00-2000.0
CMDCT4,CMDCT4,Kw,0.00-2000.00,>h,TRUE,40,CO2 Reading 0.00-2000.0
CMDCT5,CMDCT5,Kw,0.00-2000.00,>h,TRUE,41,CO2 Reading 0.00-2000.0
CMDCT6,CMDCT6,Kw,0.00-2000.00,>h,TRUE,42,CO2 Reading 0.00-2000.0
CMDCT7,CMDCT7,Kw,0.00-2000.00,>h,TRUE,43,CO2 Reading 0.00-2000.0
CMDCT8,CMDCT8,Kw,0.00-2000.00,>h,TRUE,44,CO2 Reading 0.00-2000.0
CMDCT9,CMDCT9,Kw,0.00-2000.00,>h,TRUE,45,CO2 Reading 0.00-2000.0
CMDCT10,CMDCT10,Kw,0.00-2000.00,>h,TRUE,46,CO2 Reading 0.00-2000.0
CMDCBRK,CMDCBRK,Kw,0.00-2000.00,>h,TRUE,47,CO2 Reading 0.00-2000.0
P-CUT,P-CUT,Kw,0.00-2000.00,>h,TRUE,48,CO2 Reading 0.00-2000.0
Ahead-CUT,Ahead-CUT,Kw,0.00-2000.00,>h,TRUE,49,CO2 Reading 0.00-2000.0
Fcst-CBuilding,Fcst-CBuilding,Kw,0.00-2000.00,>h,TRUE,50,CO2 Reading 0.00-2000.0
CMDCT10_P,CMDCT10_P,Kw,0.00-2000.00,>h,TRUE,51,CO2 Reading 0.00-2000.0
SCT1,SCT1,Kw,0.00-2000.00,>h,TRUE,52,CO2 Reading 0.00-2000.0
SCT2,SCT2,Kw,0.00-2000.00,>h,TRUE,53,CO2 Reading 0.00-2000.0
SCT3,SCT3,Kw,0.00-2000.00,>h,TRUE,54,CO2 Reading 0.00-2000.0
SCT4,SCT4,Kw,0.00-2000.00,>h,TRUE,55,CO2 Reading 0.00-2000.0
SCT5,SCT5,Kw,0.00-2000.00,>h,TRUE,56,CO2 Reading 0.00-2000.0
SCT6,SCT6,Kw,0.00-2000.00,>h,TRUE,57,CO2 Reading 0.00-2000.0
SCT7,SCT7,Kw,0.00-2000.00,>h,TRUE,58,CO2 Reading 0.00-2000.0
SCT8,SCT8,Kw,0.00-2000.00,>h,TRUE,59,CO2 Reading 0.00-2000.0
SCT9,SCT9,Kw,0.00-2000.00,>h,TRUE,60,CO2 Reading 0.00-2000.0
SCT10,SCT10,Kw,0.00-2000.00,>h,TRUE,61,CO2 Reading 0.00-2000.0
SCBKR,SCBKR,Kw,0.00-2000.00,>h,TRUE,62,CO2 Reading 0.00-2000.0
P1P,P1P,Kw,0.00-2000.00,>h,TRUE,64,CO2 Reading 0.00-2000.0
P1Q,P1Q,Kw,0.00-2000.00,>h,TRUE,65,CO2 Reading 0.00-2000.0
P1Vrms,P1Vrms,Kw,0.00-2000.00,>h,TRUE,66,CO2 Reading 0.00-2000.0
P1Freq,P1Freq,Kw,0.00-2000.00,>h,TRUE,67,CO2 Reading 0.00-2000.0
PPT1,PPT1,Kw,0.00-2000.00,>h,TRUE,68,CO2 Reading 0.00-2000.0
PPT2,PPT2,Kw,0.00-2000.00,>h,TRUE,69,CO2 Reading 0.00-2000.0
PPT3,PPT3,Kw,0.00-2000.00,>h,TRUE,70,CO2 Reading 0.00-2000.0
PPT4,PPT4,Kw,0.00-2000.00,>h,TRUE,71,CO2 Reading 0.00-2000.0
PPT5,PPT5,Kw,0.00-2000.00,>h,TRUE,72,CO2 Reading 0.00-2000.0
PPT6,PPT6,Kw,0.00-2000.00,>h,TRUE,73,CO2 Reading 0.00-2000.0
PPT7,PPT7,Kw,0.00-2000.00,>h,TRUE,74,CO2 Reading 0.00-2000.0
PPT8,PPT8,Kw,0.00-2000.00,>h,TRUE,75,CO2 Reading 0.00-2000.0
PPT9,PPT9,Kw,0.00-2000.00,>h,TRUE,76,CO2 Reading 0.00-2000.0
PPT10,PPT10,Kw,0.00-2000.00,>h,TRUE,77,CO2 Reading 0.00-2000.0
AheadPPT1,AheadPPT1,Kw,0.00-2000.00,>h,TRUE,78,CO2 Reading 0.00-2000.0
AheadPPT2,AheadPPT2,Kw,0.00-2000.00,>h,TRUE,79,CO2 Reading 0.00-2000.0
AheadPPT3,AheadPPT3,Kw,0.00-2000.00,>h,TRUE,80,CO2 Reading 0.00-2000.0
AheadPPT4,AheadPPT4,Kw,0.00-2000.00,>h,TRUE,81,CO2 Reading 0.00-2000.0
AheadPPT5,AheadPPT5,Kw,0.00-2000.00,>h,TRUE,82,CO2 Reading 0.00-2000.0
AheadPPT6,AheadPPT6,Kw,0.00-2000.00,>h,TRUE,83,CO2 Reading 0.00-2000.0
AheadPPT7,AheadPPT7,Kw,0.00-2000.00,>h,TRUE,84,CO2 Reading 0.00-2000.0
AheadPPT8,AheadPPT8,Kw,0.00-2000.00,>h,TRUE,85,CO2 Reading 0.00-2000.0
