Point Name,Volttron Point Name,Writable
inverter_system_state,inverter_system_state,TRUE
inverter_last_fault,inverter_last_fault,TRUE
inverter_last_fault,inverter_last_fault,TRUE
inverter_autorun_enabled,inverter_autorun_enabled,TRUE
inverter_bus_voltage,inverter_bus_voltage,TRUE
inverter_ac_voltage,inverter_ac_voltage,TRUE
inverter_dc_voltage,inverter_dc_voltage,TRUE
inverter_ac_frequency,inverter_ac_frequency,TRUE
inverter_ac_frequency,inverter_ac_frequency,TRUE
inverter_output_power,inverter_output_power,TRUE
inverter_energy_produced_last_7_days,inverter_energy_produced_last_7_days,TRUE
inverter_energy_produced_last_30_days,inverter_energy_produced_last_30_days,TRUE
