Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192964192,0.1980045,0.218083509
1,1,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.19295787,0.197998178,0.191879964
1,2,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192951547,0.197991855,0.199584667
1,3,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192945226,0.197985534,0.181917404
1,4,0.001973631,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.194868724,0.199989441,0.170728635
1,5,0.002298408,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.214462183,0.223054763,0.232631678
1,6,0.003996984,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.255221698,0.265512854,0.248650436
1,7,0.004480595,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.314042551,0.337405662,0.328437277
1,8,0.008585807,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.554222918,0.619456272,0.578049518
1,9,0.008761512,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.558433511,0.62384257,0.639424507
1,10,0.008791065,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.559136463,0.624575074,0.554926888
1,11,0.00891567,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.562120663,0.62768388,0.656865192
1,12,0.008575567,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.55395187,0.619174984,0.694318622
1,13,0.008880356,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.561260473,0.626788375,0.71327471
1,14,0.008859567,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.560755211,0.626262325,0.536630638
1,15,0.008856337,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.560671369,0.626175252,0.544134103
1,16,0.009177676,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.568377191,0.634202413,0.691162354
1,17,0.008193163,0,0,0,0.004186621,0.004984073,0,0,0,0.034888509,0.497522028,0.549774394,0.602011113
1,18,0.006784751,0,0,0,0.002990444,0.003560052,0,0,0,0.024920363,0.41649329,0.4547489,0.433355522
1,19,0.006397453,0,0,0,0.002990444,0.003560052,0,0,0,0.024920363,0.407191807,0.445060119,0.462149122
1,20,0.005090134,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.32858932,0.35256197,0.383534439
1,21,0.004544537,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.315488655,0.338915708,0.326675696
1,22,0.002298399,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.214354499,0.22294707,0.227134919
1,23,0.001973631,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.19474861,0.199869327,0.193685982
2,0,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192812467,0.197852775,0.178980311
2,1,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192806144,0.197846452,0.210718844
2,2,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192799823,0.197840131,0.172734026
2,3,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192793501,0.197833809,0.201167108
2,4,0.001973631,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.194717001,0.199837718,0.211374122
2,5,0.002298408,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.214310458,0.222903038,0.230301418
2,6,0.002588823,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.221274096,0.230157091,0.219676286
2,7,0.003582355,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.292333084,0.314797955,0.31784784
2,8,0.007794896,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.535089312,0.599531754,0.678247827
2,9,0.007908061,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.537798963,0.602354571,0.594029039
2,10,0.00838139,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.549152525,0.614181461,0.692717578
2,11,0.00875713,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.558163967,0.623568643,0.547213728
2,12,0.008473753,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.5513566,0.616477899,0.627007907
2,13,0.008815465,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.559551364,0.625014375,0.574422878
2,14,0.008821897,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.559699415,0.625168858,0.634837936
2,15,0.008852025,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.560416168,0.62591574,0.584043811
2,16,0.009176314,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.56819277,0.634016631,0.601469056
2,17,0.008256571,0,0,0,0.004186621,0.004984073,0,0,0,0.034888509,0.498892104,0.551207879,0.545831262
2,18,0.006503818,0,0,0,0.002990444,0.003560052,0,0,0,0.024920363,0.409599182,0.44757386,0.514113739
2,19,0.006162593,0,0,0,0.002990444,0.003560052,0,0,0,0.024920363,0.401403443,0.439036895,0.405048544
2,20,0.00469135,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.318866771,0.342440637,0.379417918
2,21,0.004338635,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.310395276,0.333616426,0.295865534
2,22,0.002298399,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.214202776,0.222795347,0.24020839
2,23,0.001973631,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.194596885,0.199717602,0.17145072
3,0,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192660743,0.197701051,0.178076166
3,1,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192654421,0.197694729,0.185994893
3,2,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192648098,0.197688406,0.197424627
3,3,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192641777,0.197682085,0.180367302
3,4,0.001973631,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.194565276,0.199685993,0.172075871
3,5,0.002298408,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.214158733,0.222751313,0.219278022
3,6,0.002586944,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.22107727,0.229958386,0.228302386
3,7,0.003273331,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.284764764,0.30692061,0.301692575
3,8,0.007162279,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.519754798,0.583564624,0.603022893
3,9,0.007794631,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.534924918,0.599367096,0.568972104
3,10,0.008386198,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.549116209,0.614149954,0.654380812
3,11,0.008847402,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.560178784,0.625673733,0.701503939
3,12,0.008563624,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.553361783,0.618572953,0.705344809
3,13,0.008959525,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.562857075,0.628464146,0.649803591
3,14,0.009022054,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.564351469,0.63002107,0.638461606
3,15,0.009064438,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.565362355,0.63107434,0.687855582
3,16,0.00938667,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.573089599,0.639123816,0.686243873
3,17,0.008536292,0,0,0,0.004186621,0.004984073,0,0,0,0.034888509,0.505453677,0.558049172,0.607744403
3,18,0.006470736,0,0,0,0.002990444,0.003560052,0,0,0,0.024920363,0.408653478,0.446595072,0.402335734
3,19,0.005460888,0,0,0,0.002990444,0.003560052,0,0,0,0.024920363,0.384410801,0.421342548,0.480884967
3,20,0.00448704,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.313811607,0.337181163,0.369532551
3,21,0.00396942,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.301382392,0.324234328,0.341889641
3,22,0.002298399,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.214051051,0.222643622,0.20157666
3,23,0.001973631,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.194445161,0.199565878,0.209215502
4,0,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192509018,0.197549326,0.207721589
4,1,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192502696,0.197543004,0.175486158
4,2,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192496375,0.197536683,0.19111809
4,3,0.001893222,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.192490052,0.19753036,0.203906736
4,4,0.001973631,0,0,0,0.000299044,0.000356005,0,0,0,0.002492036,0.194413552,0.199534269,0.18114799
4,5,0.002298408,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.21400701,0.22259959,0.191811171
4,6,0.002588021,0,0,0,0.000598089,0.00071201,0,0,0,0.004984073,0.220951399,0.229833592,0.2049043
4,7,0.00327321,0,0,0,0.001794266,0.002136031,0,0,0,0.014952218,0.284610137,0.306765863,0.337998809
4,8,0.006879847,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.512824701,0.576352095,0.65266478
4,9,0.007254488,0,0,0,0.005382799,0.006408094,0,0,0,0.044856655,0.521809755,0.585711789,0.556598844
