Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.006626276,0,0,0,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.186671835,0.1980045,0.220330071
1,1,0.006626276,0,0,0,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.186665513,0.197998178,0.187109593
1,2,0.006626276,0,0,0,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.18665919,0.197991855,0.224513099
1,3,0.006626276,0,0,0,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.186652869,0.197985534,0.212913499
1,4,0.006907708,0,0,0,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.188375344,0.199989441,0.186861351
1,5,0.008044428,0,0,0,0.000939854,0.000783211,0.000569608,0,0,0.007120104,0.205597558,0.223054763,0.206828042
1,6,0.013989446,0,0,0,0.000939854,0.000783211,0.000569608,0,0,0.007120104,0.242110631,0.265512854,0.276283799
1,7,0.015682081,0,0,0,0.002819561,0.002349634,0.001708825,0,0,0.021360312,0.293485248,0.337405662,0.287057292
1,8,0.030050326,0,0,0,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.50469095,0.619456272,0.548264815
1,9,0.030665292,0,0,0,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.508462281,0.62384257,0.635561236
1,10,0.030768728,0,0,0,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.50909135,0.624575074,0.663675566
1,11,0.031204846,0,0,0,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.511764038,0.62768388,0.687498508
1,12,0.030014486,0,0,0,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.504445502,0.619174984,0.537377559
1,13,0.031081245,0,0,0,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.510992134,0.626788375,0.550507458
1,14,0.031008483,0,0,0,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.510538845,0.626262325,0.621015211
