Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.001893221,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.182574909,0.187757618,0.181677939
1,1,0.001893221,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.182568586,0.187751296,0.181254837
1,2,0.001893221,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.182562264,0.187744973,0.212072353
1,3,0.00197363,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.184485764,0.189748882,0.209754184
1,4,0.00218599,0,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.204798862,0.213563828,0.181626152
1,5,0.00472785,0.001858467,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.310400374,0.323565667,0.292593008
1,6,0.005846106,0.001472058,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.388849522,0.415904615,0.442272086
1,7,0.009628651,0.001659231,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.666789825,0.737288491,0.655293821
1,8,0.0095651,0.001984737,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.673070406,0.743831027,0.64743504
1,9,0.009377891,0.002192832,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.673565357,0.744346865,0.788154671
1,10,0.009310861,0.002263652,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.673649981,0.744435278,0.782157691
1,11,0.008993423,0.002035067,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.660539102,0.730778375,0.742100393
1,12,0.009271452,0.00234272,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.674589164,0.74541412,0.763789364
1,13,0.00924134,0.002495206,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.677519821,0.748467151,0.644116749
1,14,0.009229979,0.002675949,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.68157866,0.752695372,0.853815408
1,15,0.009552601,0.002791586,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.692090543,0.763645513,0.829698163
1,16,0.008827292,0.002425439,0,0.001993629,0.004186621,0.004984073,0,0,0,0.034888509,0.604998178,0.662303742,0.633312688
1,17,0.007631217,0.001903842,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.502876574,0.545306513,0.561010711
1,18,0.007537101,0.001755473,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.497050616,0.539238069,0.572934145
1,19,0.006914906,0.001526666,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.415729106,0.443907606,0.424159196
1,20,0.006611916,0.001479354,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.407315542,0.435143739,0.483275877
1,21,0.002298398,0.000372001,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.216317217,0.225566592,0.196775901
1,22,0.00197363,0.000286988,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.191253349,0.196803455,0.212798027
1,23,0.001893221,0.000621802,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.197352756,0.203157267,0.208776535
2,0,0.001893221,1.98805E-05,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.182900315,0.188102905,0.215833343
2,1,0.001893221,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.182416863,0.187599572,0.191945852
2,2,0.001893221,5.96415E-05,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.183841935,0.189084286,0.16262191
2,3,0.00197363,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.184334038,0.189597157,0.212655796
2,4,0.00218599,0,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.204647138,0.213412104,0.182862417
2,5,0.00387162,0.002010821,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.293355628,0.305817045,0.29299196
2,6,0.005432883,0.001483956,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.379065985,0.405719752,0.417286707
2,7,0.009374299,0.002083128,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.670707181,0.741375392,0.725800839
2,8,0.009254394,0.002337571,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.673929768,0.744732517,0.67639916
2,9,0.008983648,0.002500991,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.67134762,0.742043043,0.663541593
2,10,0.009072161,0.002582739,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.675427557,0.746293241,0.81317194
2,11,0.008833281,0.002274284,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.662285203,0.732603553,0.709653337
2,12,0.009300898,0.002572207,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.680651831,0.75173572,0.659307289
2,13,0.009334643,0.00272247,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.685061708,0.756329605,0.644697187
2,14,0.009300502,0.003061437,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.692371196,0.763943918,0.854910014
2,15,0.009580271,0.003256484,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.703760455,0.775807994,0.742686765
2,16,0.008868131,0.002723821,0,0.001993629,0.004186621,0.004984073,0,0,0,0.034888509,0.612987743,0.670632527,0.57337496
2,17,0.007589625,0.002033652,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.504842102,0.547360259,0.590417053
2,18,0.007311706,0.001812905,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.492867804,0.534887296,0.485832862
2,19,0.006520592,0.001543168,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.406509932,0.434310621,0.492477842
2,20,0.006173104,0.001495042,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.397008869,0.424413944,0.394290534
2,21,0.002298398,0.000689861,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.223794116,0.233361351,0.238134525
2,22,0.00197363,0.000689861,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.200770578,0.206723556,0.187481245
2,23,0.001893221,0.000562929,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.195788068,0.201533705,0.212332636
3,0,0.001893221,0.000485128,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.193914525,0.199582362,0.195362604
3,1,0.001893221,0.000274315,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.188848687,0.19430571,0.195072291
3,2,0.001893221,0.000596324,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.196570596,0.202349629,0.189872486
3,3,0.00197363,0.000640159,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.199546138,0.205449416,0.216560655
3,4,0.00218599,5.56654E-05,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.205831382,0.214652013,0.237655655
3,5,0.00276189,0.001926188,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.264539194,0.275806248,0.298617134
3,6,0.004522925,0.001486819,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.357143991,0.382890664,0.431434607
3,7,0.009188946,0.001854196,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.660612613,0.73086654,0.79650314
3,8,0.009149743,0.002192735,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.667790336,0.738343597,0.714701762
3,9,0.008971077,0.00240954,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.668699379,0.739290781,0.838731555
3,10,0.009061306,0.002514231,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.673371127,0.744157448,0.781407734
3,11,0.008788159,0.002281718,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.661228968,0.731509629,0.745505103
3,12,0.009275871,0.002929438,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.688473013,0.759889106,0.735299697
3,13,0.009267171,0.00341023,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.69979689,0.771685075,0.752138809
3,14,0.009240674,0.004020374,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.71379808,0.786269912,0.811166974
3,15,0.00952602,0.00469672,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.736872388,0.810305913,0.839505793
3,16,0.00879621,0.003766508,0,0.001993629,0.004186621,0.004984073,0,0,0,0.034888509,0.636134401,0.69474995,0.593310997
3,17,0.007571373,0.002149823,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.507040409,0.549656484,0.566809159
3,18,0.007437687,0.001769727,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.494703328,0.536805622,0.499776469
3,19,0.006628805,0.00155491,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.409237092,0.437157735,0.407755124
3,20,0.006270709,0.001515194,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.399683297,0.427206128,0.47959737
3,21,0.002298398,0.000656866,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.222850528,0.232384769,0.233967795
3,22,0.00197363,0.000586384,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.198135414,0.203984917,0.221173652
3,23,0.001893221,0.000698691,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.198894632,0.204776032,0.231504666
4,0,0.001893221,0.000699685,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.198912166,0.20479456,0.216683147
4,1,0.001893221,0.000547098,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.195243768,0.200973575,0.228458717
4,2,0.001893221,5.56654E-05,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.18344306,0.188681435,0.161849625
4,3,0.00197363,0.000695709,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.200727595,0.206686422,0.228425415
4,4,0.00218599,0,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.204343689,0.213108655,0.186465459
4,5,0.004937375,0.001951833,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.317214582,0.330682765,0.370215931
4,6,0.005724685,0.001484828,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.385786725,0.412733166,0.403388302
4,7,0.00950088,0.00194281,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.670074015,0.740728488,0.825476395
4,8,0.009489303,0.002188093,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.675676671,0.746564852,0.681045597
4,9,0.009221597,0.00220715,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.669702768,0.7403423,0.632624421
4,10,0.00922317,0.002443591,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.67540878,0.746286326,0.747244735
4,11,0.008926485,0.002232054,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.663205124,0.733574447,0.79070457
4,12,0.009210897,0.002668992,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.680511216,0.751601889,0.746344731
4,13,0.00919659,0.003122982,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.691057263,0.762587618,0.698318328
4,14,0.009196225,0.003839472,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.708237959,0.78048444,0.836150617
4,15,0.009526269,0.004417402,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.730023007,0.803177462,0.717392884
4,16,0.008791121,0.003265443,0,0.001993629,0.004186621,0.004984073,0,0,0,0.034888509,0.623835,0.681944397,0.740532051
4,17,0.007520546,0.002019896,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.502550589,0.54498591,0.621225615
4,18,0.007407239,0.001800707,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.494564373,0.536667198,0.46062516
4,19,0.006868852,0.001553301,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.414807902,0.442966983,0.441002803
4,20,0.006662782,0.001507622,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.408759607,0.43666694,0.38432973
4,21,0.002298398,0.000596034,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.221238827,0.230712236,0.223884674
4,22,0.00197363,0.000693721,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.200559767,0.206516606,0.227294235
4,23,0.001893221,0.00057849,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.195858087,0.201619286,0.231693265
5,0,0.001893221,0.000638853,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.197300483,0.203122045,0.187230611
5,1,0.001893221,7.49652E-05,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.183760853,0.189018527,0.166240509
5,2,0.001893221,0.000582118,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.195926187,0.201691014,0.225435289
5,3,0.00197363,1.98805E-05,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.184355997,0.189638996,0.195842499
