Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.006626274,0,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.176104551,0.187757618,0.203478983
1,1,0.006626274,0,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.176098228,0.187751296,0.168397442
1,2,0.006626274,0,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.176091906,0.187744973,0.166409725
1,3,0.006907706,0,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.177814383,0.189748882,0.185793321
1,4,0.007650966,0,0,0.000640809,0.000939854,0.000783211,0.000569608,0,0,0.007120104,0.195859275,0.213563828,0.219371366
1,5,0.016547474,0.006040017,0,0.000640809,0.000939854,0.000783211,0.000569608,0,0,0.007120104,0.290924589,0.323565667,0.320243474
1,6,0.02046137,0.00478419,0,0.001922428,0.002819561,0.002349634,0.001708825,0,0,0.021360312,0.360498294,0.415904615,0.399989458
1,7,0.03370028,0.005392502,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.60771343,0.737288491,0.716115504
1,8,0.033477851,0.006450394,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.613420502,0.743831027,0.787112068
1,9,0.032822618,0.007126705,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.613915261,0.744346865,0.688199671
1,10,0.032588014,0.007356867,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.614008116,0.744435278,0.7514968
1,11,0.031476979,0.006613967,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.602205149,0.730778375,0.740145498
1,12,0.032450081,0.007613841,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.614867917,0.74541412,0.6779069
1,13,0.032344691,0.008109419,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.617530761,0.748467151,0.779355216
1,14,0.032304927,0.008696834,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.621211331,0.752695372,0.660249321
1,15,0.033434102,0.009072654,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.630656477,0.763645513,0.744693635
1,16,0.030895523,0.007882678,0,0.004485665,0.006578976,0.00548248,0.003987258,0,0,0.049840727,0.553150434,0.662303742,0.619825958
1,17,0.02670926,0.006187485,0,0.003204047,0.004699269,0.003916057,0.002848042,0,0,0.035600519,0.462141835,0.545306513,0.537630004
1,18,0.026379852,0.005705287,0,0.003204047,0.004699269,0.003916057,0.002848042,0,0,0.035600519,0.456884996,0.539238069,0.474153903
1,19,0.024202169,0.004961663,0,0.001922428,0.002819561,0.002349634,0.001708825,0,0,0.021360312,0.384583013,0.443907606,0.426287868
1,20,0.023141705,0.0048079,0,0.001922428,0.002819561,0.002349634,0.001708825,0,0,0.021360312,0.377033375,0.435143739,0.485500215
1,21,0.008044395,0.001209004,0,0.000640809,0.000939854,0.000783211,0.000569608,0,0,0.007120104,0.206259607,0.225566592,0.257991793
1,22,0.006907706,0.000932709,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.183936246,0.196803455,0.216689174
1,23,0.006626274,0.002020857,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.189483343,0.203157267,0.218060154
2,0,0.006626274,6.46116E-05,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.176385226,0.188102905,0.206330002
2,1,0.006626274,0,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.175946505,0.187599572,0.17673093
2,2,0.006626274,0.000193835,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.177237384,0.189084286,0.202992883
2,3,0.006907706,0,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.177662657,0.189597157,0.165219104
2,4,0.007650966,0,0,0.000640809,0.000939854,0.000783211,0.000569608,0,0,0.007120104,0.195707551,0.213412104,0.238140313
2,5,0.013550668,0.006535169,0,0.000640809,0.000939854,0.000783211,0.000569608,0,0,0.007120104,0.275677621,0.305817045,0.290091067
