Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.004259747,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.180293824,0.187757618,0.203802539
1,1,0.004259747,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.180287501,0.187751296,0.192197105
1,2,0.004259747,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.180281179,0.187744973,0.198586801
1,3,0.004440668,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.182104167,0.189748882,0.201803618
1,4,0.004918478,0,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.202237257,0.213563828,0.209009248
1,5,0.010637662,0.004646167,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.301873744,0.323565667,0.303884614
1,6,0.013153738,0.003680146,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.37984645,0.415904615,0.365007325
1,7,0.021664465,0.004148078,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.653803106,0.737288491,0.650801089
1,8,0.021521475,0.004961842,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.659674868,0.743831027,0.799888002
1,9,0.021100254,0.005482081,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.660091688,0.744346865,0.659872049
1,10,0.020949437,0.005659129,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.66015387,0.744435278,0.706816895
1,11,0.020235201,0.005087667,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.647782666,0.730778375,0.660728361
1,12,0.020860766,0.005856801,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.661023711,0.74541412,0.765656585
1,13,0.020793016,0.006238015,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.663763279,0.748467151,0.784020008
1,14,0.020767453,0.006689872,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.667565205,0.752695372,0.66808775
