Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.001514577,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.145873622,0.150677688,0.160936253
1,1,0.001514577,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.1458673,0.150671365,0.161960711
1,2,0.001514577,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.145860978,0.150665044,0.136780662
1,3,0.001514577,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.145854656,0.150658721,0.143082427
1,4,0.001578905,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.14739219,0.152260583,0.168187861
1,5,0.001838726,0,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.168844368,0.17726207,0.170458156
1,6,0.002191763,0,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.177310929,0.186081668,0.16124411
1,7,0.00261968,0,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.248465757,0.270822365,0.248092167
1,8,0.005504303,0,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.500363762,0.565078849,0.483310583
1,9,0.005311215,0,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.495723329,0.560245329,0.477327859
1,10,0.005053789,0,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.489538778,0.553803351,0.631160918
1,11,0.005053811,0,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.489532979,0.553797573,0.607800379
1,12,0.004791589,0,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.483233326,0.547235698,0.561708886
1,13,0.005053746,0,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.489518783,0.553783313,0.586257894
1,14,0.00505365,0,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.489510152,0.553774586,0.479239852
1,15,0.005053616,0,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.489503028,0.553767428,0.634891967
1,16,0.005445926,0,0,0.002563237,0.005382799,0.006408094,0,0,0,0.044856655,0.498912129,0.563568839,0.601592923
1,17,0.004986944,0,0,0.001993629,0.004186621,0.004984073,0,0,0,0.034888509,0.426999118,0.478038894,0.490152032
1,18,0.003937889,0,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.340924346,0.377757115,0.339909313
1,19,0.003809305,0,0,0.001424021,0.002990444,0.003560052,0,0,0,0.024920363,0.337832014,0.374536199,0.418351553
1,20,0.003022608,0,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.258053827,0.280813363,0.318580269
1,21,0.002894045,0,0,0.000854412,0.001794266,0.002136031,0,0,0,0.014952218,0.254962011,0.277592984,0.288802388
1,22,0.001838719,0,0,0.000284804,0.000598089,0.00071201,0,0,0,0.004984073,0.168736729,0.177154425,0.170025537
1,23,0.001578905,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.147272076,0.152140469,0.131734852
2,0,0.001514577,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.145721897,0.150525963,0.139027
2,1,0.001514577,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.145715576,0.150519642,0.128914429
2,2,0.001514577,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.145709254,0.150513319,0.158182024
2,3,0.001514577,0,0,0.000142402,0.000299044,0.000356005,0,0,0,0.002492036,0.145702933,0.150506998,0.16508351
