Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.003407799,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.144065842,0.150677688,0.160906456
1,1,0.003407799,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.144059519,0.150671365,0.138031841
1,2,0.003407799,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.144053198,0.150665044,0.16116837
1,3,0.003407799,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.144046876,0.150658721,0.168993012
1,4,0.003552535,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.145504001,0.152260583,0.140080635
1,5,0.004137134,0,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.166716843,0.17726207,0.155331581
1,6,0.004931467,0,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.174742107,0.186081668,0.191327031
1,7,0.005894281,0,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.245703804,0.270822365,0.2535931
1,8,0.012384682,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.495021326,0.565078849,0.532387261
1,9,0.011950234,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.490622253,0.560245329,0.594015657
1,10,0.011371025,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.484759484,0.553803351,0.539889263
1,11,0.011371074,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.484753658,0.553797573,0.475032648
1,12,0.010781074,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.478781783,0.547235698,0.551231874
1,13,0.011370929,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.484739543,0.553783313,0.50084226
1,14,0.011370712,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.484731033,0.553774586,0.547376558
1,15,0.011370637,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.48472395,0.553767428,0.605006206
1,16,0.012253333,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.493642665,0.563568839,0.479246531
1,17,0.011220624,0,0,0.004485665,0.005980887,0.004485665,0,0,0,0.029904436,0.421961616,0.478038894,0.421194386
1,18,0.00886025,0,0,0.003204047,0.004272062,0.003204047,0,0,0,0.021360311,0.336856397,0.377757115,0.398555737
1,19,0.008570937,0,0,0.003204047,0.004272062,0.003204047,0,0,0,0.021360311,0.333924795,0.374536199,0.361463378
1,20,0.006800867,0,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.254788215,0.280813363,0.24214642
1,21,0.006511602,0,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.251857101,0.277592984,0.286244544
1,22,0.004137118,0,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.166609213,0.177154425,0.19972241
1,23,0.003552535,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.145383886,0.152140469,0.161907151
2,0,0.003407799,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.143914117,0.150525963,0.141954401
2,1,0.003407799,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.143907796,0.150519642,0.155786523
2,2,0.003407799,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.143901473,0.150513319,0.129035354
2,3,0.003407799,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.143895152,0.150506998,0.155451362
2,4,0.003552535,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.145352278,0.15210886,0.165324785
2,5,0.004137134,0,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.166565118,0.177110346,0.150578351
2,6,0.004932088,0,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.174596667,0.185936848,0.167404803
2,7,0.005896175,0,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.245571229,0.270691684,0.245065434
2,8,0.012385013,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.49487295,0.564930805,0.56585715
2,9,0.011949947,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.490467627,0.560090416,0.56851803
2,10,0.011370843,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.484605924,0.553649609,0.490065746
2,11,0.011370873,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.484599899,0.553643613,0.599499737
2,12,0.010780793,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.478627218,0.547080853,0.567928158
2,13,0.01137705,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.484649713,0.553699605,0.598998013
2,14,0.011382652,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.484700036,0.553755529,0.566428207
2,15,0.011374089,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.484607134,0.553654065,0.584310284
2,16,0.012253166,0,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.493489256,0.563415264,0.623996149
2,17,0.011220437,0,0,0.004485665,0.005980887,0.004485665,0,0,0,0.029904436,0.421807995,0.477885086,0.507687759
2,18,0.008859911,0,0,0.003204047,0.004272062,0.003204047,0,0,0,0.021360311,0.336701245,0.377601623,0.354420203
2,19,0.008570555,0,0,0.003204047,0.004272062,0.003204047,0,0,0,0.021360311,0.333769216,0.374380238,0.388808811
2,20,0.006800316,0,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.254630912,0.280655508,0.264543164
2,21,0.006511046,0,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.251699753,0.27743508,0.267960918
2,22,0.004137118,0,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.166457488,0.1770027,0.167768791
2,23,0.003552535,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.145232162,0.151988744,0.154494857
3,0,0.003407799,0,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.143762393,0.150374239,0.139753492
