Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.008046189,0.001438317,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.173002578,0.187271794,0.178726088
1,1,0.008046189,0.001739562,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.175707461,0.190277921,0.169073618
1,2,0.008046189,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.160045084,0.172875983,0.196847972
1,3,0.008387928,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.161707253,0.174879891,0.200378479
1,4,0.009768228,0.000149104,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.183509537,0.202996289,0.21587648
1,5,0.023077092,0.00473886,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.289789596,0.327174968,0.35081535
1,6,0.025960945,0.003680146,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.349245073,0.407594423,0.429491488
1,7,0.041982223,0.004175426,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.596648522,0.728930947,0.627296293
1,8,0.041014711,0.00510946,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.600324778,0.732573725,0.714322947
1,9,0.03924276,0.005847069,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.598305646,0.729520251,0.710216556
1,10,0.039186255,0.006482376,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.603741209,0.735534617,0.747639059
1,11,0.037859748,0.006032559,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.59321006,0.723227144,0.762971048
1,12,0.039225356,0.007178086,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.610180862,0.742709081,0.729133711
1,13,0.039263609,0.008429059,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.621620062,0.755437507,0.726972955
1,14,0.039345726,0.011220975,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.647141912,0.783833391,0.695000407
1,15,0.040756112,0.014890015,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.687042946,0.82881385,0.785569869
1,16,0.037495204,0.012165889,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.591688342,0.708335372,0.642729866
