Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.01893221,0.005609435,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.151693988,0.187271794,0.170731322
1,1,0.01893221,0.006784291,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.15352526,0.190277921,0.180801174
1,2,0.01893221,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.142907612,0.172875983,0.194863264
1,3,0.019736302,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.144107428,0.174879891,0.156638158
1,4,0.022984067,0.000581504,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.157358396,0.202996289,0.187855788
1,5,0.05429904,0.018481556,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.23232205,0.327174968,0.306472938
1,6,0.061084575,0.01435257,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.26594031,0.407594423,0.348737816
1,7,0.0987817,0.01628416,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.415214189,0.728930947,0.695287788
1,8,0.096505201,0.019926895,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.41749073,0.732573725,0.793094306
1,9,0.092335905,0.02280357,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.415729878,0.729520251,0.700259536
1,10,0.092202952,0.025281267,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.419399499,0.735534617,0.776896032
1,11,0.08908176,0.023526981,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.411967505,0.723227144,0.796436809
1,12,0.092294956,0.027994535,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.423768691,0.742709081,0.672159178
1,13,0.092384962,0.032873331,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.431528315,0.755437507,0.753185274
1,14,0.09257818,0.043761804,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.448842508,0.783833391,0.896104531
1,15,0.095896734,0.058071058,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.476195159,0.82881385,0.904991606
1,16,0.088224009,0.047446966,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.418158143,0.708335372,0.694465242
1,17,0.075584778,0.025704136,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.335280523,0.546931046,0.56750415
1,18,0.078088842,0.017344266,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.325954603,0.53174932,0.579824279
1,19,0.068831294,0.01548599,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.279250988,0.429785239,0.494073386
1,20,0.067716541,0.015099499,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.276968027,0.426001035,0.390787415
1,21,0.022983983,0.006404445,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.166358475,0.217819226,0.195945053
1,22,0.019736302,0.007035144,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.154991,0.192798606,0.195471213
1,23,0.01893221,0.00696044,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.153661695,0.190590507,0.181966144
2,0,0.018932209,0.006906185,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.154632583,0.191507138,0.201222348
2,1,0.018932209,0.009106208,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.158067323,0.197141902,0.214881929
2,2,0.018932209,0.006848902,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.154530343,0.191347616,0.203142355
2,3,0.019736301,0.002583311,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.149058336,0.18241411,0.202236494
2,4,0.022984066,0.000193835,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.157662386,0.20291261,0.186050654
