Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors,,,
1,0,0.014672463,0.004027287,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.16208563,0.187271794,0.203120975,,,13.2052167
1,1,0.014672463,0.004870773,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.164248271,0.190277921,0.207204633,,,
1,2,0.014672463,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.151717106,0.172875983,0.177843288,,,
1,3,0.015295634,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.153097842,0.174879891,0.175866514,,,
1,4,0.017812652,0.00041749,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171793317,0.202996289,0.194315413,,,
1,5,0.042081756,0.013268809,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.258851573,0.327174968,0.316279174,,,
1,6,0.047340546,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.311030979,0.407594423,0.394129308,,,
1,7,0.076555818,0.011691192,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.523928474,0.728930947,0.660297688,,,
1,8,0.074791531,0.014306489,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.526720242,0.732573725,0.694258631,,,
1,9,0.071560326,0.016371794,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.524832668,0.729520251,0.764728591,,,
1,10,0.071457288,0.018150653,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.529171212,0.735534617,0.714554851,,,
1,11,0.069038364,0.016891166,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.520542151,0.723227144,0.801561098,,,
1,12,0.071528591,0.020098641,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.534326386,0.742709081,0.823328244,,,
1,13,0.071598346,0.023601366,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.543482332,0.755437507,0.811681065,,,
1,14,0.071748089,0.031418731,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.563911107,0.783833391,0.857633922,,,
1,15,0.074319969,0.041692041,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.596046375,0.82881385,0.910069472,,,
1,16,0.068373607,0.034064488,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.515087472,0.708335372,0.657973348,,,
1,17,0.058578203,0.018454252,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.405034446,0.546931046,0.560047237,,,
1,18,0.060518853,0.012452294,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.393914028,0.53174932,0.597344078,,,
1,19,0.053344253,0.011118147,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.326404351,0.429785239,0.425569992,,,
1,20,0.052480319,0.010840666,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.323761561,0.426001035,0.444946629,,,
1,21,0.017812587,0.004598063,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.182435746,0.217819226,0.198434636,,,
1,22,0.015295634,0.005050872,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165965685,0.192798606,0.221096948,,,
1,23,0.014672463,0.004997239,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.16443439,0.190590507,0.189149337,,,
2,0,0.014672462,0.004958287,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165389975,0.191507138,0.192451476,,,
2,1,0.014672462,0.006537791,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.169445235,0.197141902,0.1983083,,,
2,2,0.014672462,0.004917161,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165271578,0.191347616,0.173119311,,,
2,3,0.015295634,0.001854685,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.158777377,0.18241411,0.187030917,,,
2,4,0.017812651,0.000139163,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171987965,0.20291261,0.173726036,,,
2,5,0.043149191,0.012325416,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.259711955,0.328159392,0.288597768,,,
2,6,0.048624222,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.314798541,0.41264566,0.383390012,,,
2,7,0.076640756,0.01156471,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.524702638,0.729663568,0.806394865,,,
2,8,0.073994585,0.013918115,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.524858064,0.729526227,0.716849035,,,
2,9,0.071449732,0.016889589,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.526828325,0.73192311,0.758574256,,,
2,10,0.071569395,0.019429374,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.533619227,0.74137346,0.756348394,,,
2,11,0.069099853,0.018056521,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.52458599,0.728497828,0.722644877,,,
2,12,0.072157642,0.02088636,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.538662444,0.74846191,0.832309077,,,
2,13,0.072669149,0.022935299,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.545063336,0.757423248,0.742473999,,,
2,14,0.073056828,0.025448147,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.552381521,0.76764196,0.7198972,,,
2,15,0.075733708,0.027365482,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.563263706,0.783118359,0.823450104,,,
2,16,0.069004914,0.023937602,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.491362423,0.675114744,0.620454926,,,
2,17,0.058209116,0.01720742,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.401917136,0.542197817,0.597150728,,,
2,18,0.059575719,0.014176149,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.397157912,0.535773926,0.595890822,,,
2,19,0.053013745,0.012143754,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.329216329,0.433292316,0.397916552,,,
2,20,0.052054568,0.011563613,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.325583274,0.428119943,0.37479628,,,
2,21,0.021078309,0.005119475,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.191955732,0.231126345,0.216905607,,,
2,22,0.016815745,0.007389454,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.176273,0.206964615,0.221436228,,,
2,23,0.018922863,0.00392079,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.172037293,0.201367361,0.195524925,,,
