Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185494002,0.1980045,0.216159873
1,1,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.18548768,0.197998178,0.171839814
1,2,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185481358,0.197991855,0.177601787
1,3,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185475037,0.197985534,0.202385111
1,4,0.008387931,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.187137205,0.199989441,0.171149992
1,5,0.009768234,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.204357919,0.223054763,0.218073625
1,6,0.016987184,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.23959706,0.265512854,0.297336881
1,7,0.019042527,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.291577303,0.337405662,0.319742095
1,8,0.036489681,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.502609099,0.619456272,0.700241414
1,9,0.037236426,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.506248651,0.62384257,0.573266962
1,10,0.037362027,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.506855555,0.624575074,0.643347761
1,11,0.037891599,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.509434789,0.62768388,0.664389629
1,12,0.036446161,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.50237133,0.619174984,0.544407508
1,13,0.037741512,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.508689371,0.626788375,0.71679816
1,14,0.037653158,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.508251674,0.626262325,0.545531419
1,15,0.037639431,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.508178329,0.626175252,0.543448786
1,16,0.039005123,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.514839798,0.634202413,0.663661523
1,17,0.034820943,0,0,0,0.007177065,0.00548248,0,0,0,0.049840727,0.452453179,0.549774394,0.604064257
1,18,0.028835192,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.381270657,0.4547489,0.438216689
1,19,0.027189174,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.373227894,0.445060119,0.442190252
1,20,0.021633071,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.304143067,0.35256197,0.396312439
1,21,0.019314281,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.292815595,0.338915708,0.353849698
1,22,0.009768196,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.204250264,0.22294707,0.231312879
1,23,0.008387931,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.18701709,0.199869327,0.216534889
2,0,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185342277,0.197852775,0.208702107
2,1,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185335954,0.197846452,0.176285969
2,2,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185329633,0.197840131,0.213300672
2,3,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185323311,0.197833809,0.171919202
2,4,0.008387931,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.186985481,0.199837718,0.180563063
2,5,0.009768234,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.204206194,0.222903038,0.238654575
2,6,0.011002497,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.210225983,0.230157091,0.203167423
2,7,0.01522501,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.272787113,0.314797955,0.298229264
2,8,0.033128306,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.486045955,0.599531754,0.516826064
2,9,0.03360926,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.488387819,0.602354571,0.667942067
2,10,0.035620906,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.498203062,0.614181461,0.562902989
2,11,0.037217801,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.505993349,0.623568643,0.54137221
2,12,0.03601345,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.500106957,0.616477899,0.595498669
2,13,0.037465725,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.507191158,0.625014375,0.62673885
2,14,0.037493062,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.507318304,0.625168858,0.693984099
2,15,0.037621107,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.50793714,0.62591574,0.632470488
2,16,0.038999333,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.514659805,0.634016631,0.683229207
2,17,0.035090428,0,0,0,0.007177065,0.00548248,0,0,0,0.049840727,0.453617179,0.551207879,0.607970627
2,18,0.027641228,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.37528958,0.44757386,0.508801503
2,19,0.026191019,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.368202825,0.439036895,0.47093595
2,20,0.019938238,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.295716568,0.342440637,0.392102902
2,21,0.018439197,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.288391398,0.333616426,0.365820958
