Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169780547,0.1980045,0.176162527
1,1,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169774224,0.197998178,0.195550203
1,2,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169767902,0.197991855,0.193322146
1,3,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169761581,0.197985534,0.173326051
1,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170961396,0.199989441,0.186350021
1,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181487213,0.223054763,0.194434059
1,6,0.039969845,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.206959538,0.265512854,0.252905913
1,7,0.044805947,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.2368493,0.337405662,0.376604644
1,8,0.085858073,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.366346959,0.619456272,0.669455574
1,9,0.087615121,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368976208,0.62384257,0.610691577
1,10,0.087910651,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.369413183,0.624575074,0.632999149
1,11,0.089156702,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.371275937,0.62768388,0.547037687
1,12,0.085755673,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.366168071,0.619174984,0.553480521
1,13,0.088803558,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370733577,0.626788375,0.650181558
1,14,0.088595667,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370415418,0.626262325,0.560074957
1,15,0.088563366,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370360646,0.626175252,0.583419789
1,16,0.091776759,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.375174413,0.634202413,0.623964488
1,17,0.08193163,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.337758466,0.549774394,0.47534092
1,18,0.06784751,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.293984035,0.4547489,0.422094963
1,19,0.063974527,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.288168237,0.445060119,0.388458961
