Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,Total Uncontrollable load factor,Total Load Realtime factors,Forecasted total factors
1,0,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.17777123,0.1980045,0.214059561
1,1,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177764908,0.197998178,0.170309265
1,2,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177758585,0.197991855,0.214909177
1,3,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177752264,0.197985534,0.191344931
1,4,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.179133,0.199989441,0.213414504
1,5,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.194120499,0.223054763,0.222242585
1,6,0.03097663,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.223414622,0.265512854,0.284665661
1,7,0.034724609,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.269316245,0.337405662,0.323309278
1,8,0.066540007,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.452821845,0.619456272,0.546044129
1,9,0.067901719,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.45584643,0.62384257,0.653244168
1,10,0.068130755,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.456349899,0.624575074,0.559803052
1,11,0.069096444,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.458493015,0.62768388,0.585133739
1,12,0.066460647,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.452619917,0.619174984,0.695774758
1,13,0.068822757,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.457871197,0.626788375,0.623491487
1,14,0.068661642,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.457506262,0.626262325,0.553312003
1,15,0.068636609,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.457444223,0.626175252,0.669324513
1,16,0.071126989,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.462981004,0.634202413,0.566223599
1,17,0.063497013,0,0,0,0.015550307,0.012460182,0,0,0,0.049840727,0.408426165,0.549774394,0.593050999
1,18,0.052581821,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.346559069,0.4547489,0.506197875
1,19,0.049580258,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.33987185,0.445060119,0.445572568
1,20,0.039448542,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.279748621,0.35256197,0.392229522
1,21,0.03522016,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.270330741,0.338915708,0.367092202
1,22,0.017812593,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.194012875,0.22294707,0.245116861
1,23,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.179012886,0.199869327,0.205805771
2,0,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177619505,0.197852775,0.207538858
2,1,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177613182,0.197846452,0.168327799
2,2,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177606861,0.197840131,0.202073128
2,3,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177600539,0.197833809,0.217359227
2,4,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178981277,0.199837718,0.198640784
2,5,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.193968774,0.222903038,0.196939876
2,6,0.020063378,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.198972111,0.230157091,0.223927931
2,7,0.027763254,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.253669893,0.314797955,0.274345578
2,8,0.060410441,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.439026893,0.599531754,0.564264754
2,9,0.061287474,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.440972677,0.602354571,0.528099909
2,10,0.064955769,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.449131271,0.614181461,0.602859166
