Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.174926718,0.187757618,0.213743943
1,1,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.174920396,0.187751296,0.180631527
1,2,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.174914074,0.187744973,0.185219326
1,3,0.008387929,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.176576243,0.189748882,0.182858146
1,4,0.009290458,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.19470395,0.213563828,0.198543941
1,5,0.020093362,0.004646167,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.289256718,0.323565667,0.308737809
1,6,0.024845949,0.003680146,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.35867026,0.415904615,0.39905999
1,7,0.040921768,0.004148078,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.606093869,0.737288491,0.629972069
1,8,0.040651676,0.004961842,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.612092733,0.743831027,0.64871615
1,9,0.039856036,0.005482081,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.612883971,0.744346865,0.714910693
1,10,0.039571159,0.005659129,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.613080213,0.744435278,0.771392791
1,11,0.038222046,0.005087667,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.601343886,0.730778375,0.786864532
1,12,0.03940367,0.005856801,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.614028872,0.74541412,0.747410981
1,13,0.039275696,0.006238015,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.616828663,0.748467151,0.700393857
1,14,0.039227411,0.006689872,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.620653312,0.752695372,0.777579076
1,15,0.040598552,0.006978964,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.62994322,0.763645513,0.850946254
1,16,0.037515993,0.006063598,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.551738214,0.662303742,0.676635405
1,17,0.032432673,0.004759604,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.460267138,0.545306513,0.478751394
1,18,0.032032678,0.004388683,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.454969611,0.539238069,0.578495845
1,19,0.029388349,0.003816664,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.381994334,0.443907606,0.413446877
1,20,0.028100641,0.003698384,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.374636454,0.435143739,0.399228589
1,21,0.009768193,0.000930003,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.205298976,0.225566592,0.213867035
1,22,0.008387929,0.000717469,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.182913347,0.196803455,0.216349227
1,23,0.00804619,0.001554505,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.188771862,0.203157267,0.203655909
2,0,0.00804619,4.97012E-05,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.175222304,0.188102905,0.204032964
2,1,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.174768672,0.187599572,0.167022048
2,2,0.00804619,0.000149104,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.176104283,0.189084286,0.213003412
2,3,0.008387929,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.176424518,0.189597157,0.212517604
2,4,0.009290458,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.194552226,0.213412104,0.19992322
2,5,0.016454383,0.005027053,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.274766189,0.305817045,0.288017164
2,6,0.023089752,0.00370989,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.350211852,0.405719752,0.443561387
2,7,0.039840772,0.005207821,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.610202023,0.741375392,0.742722604
2,8,0.039331176,0.005843928,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.613432637,0.744732517,0.658824241
2,9,0.038180506,0.006252477,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.611485283,0.742043043,0.677153571
2,10,0.038556686,0.006456847,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.615154932,0.746293241,0.785997292
2,11,0.037541445,0.005685711,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.60325162,0.732603553,0.742994914
2,12,0.039528815,0.006430518,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.61965161,0.75173572,0.708524035
2,13,0.039672235,0.006806175,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.623726419,0.756329605,0.855742621
2,14,0.039527131,0.007653593,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.630638417,0.763943918,0.719071631
2,15,0.040716151,0.008141209,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.640825857,0.775807994,0.803732265
2,16,0.037689558,0.006809552,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.55914748,0.670632527,0.672734286
2,17,0.032255908,0.00508413,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.462173123,0.547360259,0.530046374
2,18,0.031074753,0.004532263,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.451433182,0.534887296,0.49747222
2,19,0.027712518,0.003857921,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.374031923,0.434310621,0.479134097
2,20,0.026235693,0.003737606,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.365732386,0.424413944,0.41687313
2,21,0.009768193,0.001724651,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.212299087,0.233361351,0.249756517
2,22,0.008387929,0.001724651,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.191826266,0.206723556,0.197778598
2,23,0.00804619,0.001407322,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.187295484,0.201533705,0.185154752
3,0,0.00804619,0.001212819,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.185538643,0.199582362,0.22624314
3,1,0.00804619,0.000685786,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.180789025,0.19430571,0.184153486
3,2,0.00804619,0.00149081,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.188027919,0.202349629,0.186986331
3,3,0.008387929,0.001600398,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.190676379,0.205449416,0.220667582
3,4,0.009290458,0.000139163,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.195652972,0.214652013,0.222304079
3,5,0.011738032,0.00481547,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.249683326,0.275806248,0.310449427
3,6,0.01922243,0.003717049,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.331242926,0.382890664,0.398613229
3,7,0.039053023,0.00463549,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.601053251,0.73086654,0.636136221
3,8,0.038886407,0.005481837,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.607850577,0.738343597,0.842557655
3,9,0.038127079,0.006023851,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.609015074,0.739290781,0.805651198
3,10,0.038510552,0.006285578,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.613236543,0.744157448,0.711569877
3,11,0.037349677,0.005704295,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.60233088,0.731509629,0.822496289
3,12,0.039422452,0.007323596,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.627018282,0.759889106,0.664118653
3,13,0.039385476,0.008525576,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.637649247,0.771685075,0.861663514
3,14,0.039272863,0.010050935,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.650821338,0.786269912,0.816457952
3,15,0.040485584,0.011741801,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.671953751,0.810305913,0.91952227
3,16,0.037383893,0.00941627,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.580963851,0.69474995,0.648921261
3,17,0.032178335,0.005374556,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.464256495,0.549656484,0.537229133
3,18,0.03161017,0.004424317,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.452924037,0.536805622,0.472308216
3,19,0.028172419,0.003887274,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.376389782,0.437157735,0.459710848
3,20,0.026650514,0.003787984,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.36805937,0.427206128,0.43318174
