Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.157789246,0.187757618,0.186621229
1,1,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.157782923,0.187751296,0.214271152
1,2,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.157776601,0.187744973,0.190209015
1,3,0.019736303,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.158976418,0.189748882,0.195066388
1,4,0.021859902,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.169631604,0.213563828,0.220013135
1,5,0.047278498,0.018120051,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.236094795,0.323565667,0.345798572
1,6,0.058461057,0.01435257,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.276874021,0.415904615,0.363122531
1,7,0.096286513,0.016177505,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.426173575,0.737288491,0.832777819
1,8,0.095651002,0.019351182,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.430177944,0.743831027,0.739339905
1,9,0.093778908,0.021380115,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.430536942,0.744346865,0.776209939
1,10,0.09310861,0.022070602,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.430605166,0.744435278,0.653017738
1,11,0.089934225,0.019841902,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.42235135,0.730778375,0.819902752
1,12,0.092714518,0.022841523,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.431207181,0.74541412,0.77613524
1,13,0.092413403,0.024328257,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.433074593,0.748467151,0.78287193
1,14,0.09229979,0.026090501,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.435654182,0.752695372,0.731465112
1,15,0.095526006,0.027217961,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.442250648,0.763645513,0.778960911
1,16,0.088272924,0.023648033,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.395876531,0.662303742,0.673395352
1,17,0.076312171,0.018562455,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.340070278,0.545306513,0.600681229
1,18,0.075371007,0.017115862,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.336389591,0.539238069,0.60899684
1,19,0.069149056,0.01488499,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.293656593,0.443907606,0.470537112
1,20,0.066119156,0.014423699,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.288383917,0.435143739,0.485353283
1,21,0.022983984,0.003627012,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.176883274,0.225566592,0.23015976
1,22,0.019736303,0.002798128,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.163232862,0.196803455,0.193235108
1,23,0.018932211,0.00606257,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.167126325,0.203157267,0.200926988
2,0,0.018932211,0.000193835,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.157940698,0.188102905,0.176154164
2,1,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.1576312,0.187599572,0.176490285
2,2,0.018932211,0.000581504,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.158534409,0.189084286,0.188717662
2,3,0.019736303,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.158824693,0.189597157,0.177759275
2,4,0.021859902,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.16947988,0.213412104,0.205446107
2,5,0.038716196,0.019605506,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.225423021,0.305817045,0.261620681
2,6,0.054328828,0.014468569,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.270705388,0.405719752,0.444372633
2,7,0.093742992,0.020310501,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.428671001,0.741375392,0.654741466
2,8,0.092543943,0.022791319,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.430746357,0.744732517,0.82917137
2,9,0.089836485,0.02438466,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.429170999,0.742043043,0.77752361
2,10,0.090721613,0.025181703,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.431739026,0.746293241,0.810790127
2,11,0.088332811,0.022174273,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.423445571,0.732603553,0.787357667
2,12,0.093008977,0.025079021,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.434996823,0.75173572,0.662831594
2,13,0.093346434,0.026544081,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.437788191,0.756329605,0.702019057
2,14,0.093005015,0.029849012,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.442438992,0.763943918,0.814376845
2,15,0.095802708,0.031750717,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.44960367,0.775807994,0.685205009
2,16,0.088681313,0.026557253,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.400887708,0.670632527,0.753380684
2,17,0.075896254,0.019828108,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.341274289,0.547360259,0.541376339
2,18,0.073117065,0.017675827,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.333732795,0.534887296,0.530546198
2,19,0.065205925,0.01504589,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.287841838,0.434310621,0.382656848
2,20,0.061731043,0.014576662,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.281889272,0.424413944,0.431814834
2,21,0.022983984,0.00672614,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181578904,0.233361351,0.202966609
2,22,0.019736303,0.00672614,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169224952,0.206723556,0.231832261
2,23,0.018932211,0.005488554,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.166076779,0.201533705,0.223112664
3,0,0.018932211,0.004729995,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164883994,0.199582362,0.169780881
