Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.16659874,0.187757618,0.161057249
1,1,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.166592417,0.187751296,0.196993548
1,2,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.166586095,0.187744973,0.173688367
1,3,0.015295635,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.167966833,0.189748882,0.191740518
1,4,0.016941424,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.183649574,0.213563828,0.21559201
1,5,0.036640836,0.013009268,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.260942734,0.323565667,0.331683123
1,6,0.045307319,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.321374398,0.415904615,0.426275942
1,7,0.074622048,0.011614619,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.534296362,0.737288491,0.742850101
1,8,0.074129526,0.013893156,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.53905288,0.743831027,0.670598045
1,9,0.072678654,0.015349826,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.53956292,0.744346865,0.742864509
1,10,0.072159173,0.015845561,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.53967508,0.744435278,0.711775967
1,11,0.069699024,0.014245468,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.530078419,0.730778375,0.714062267
1,12,0.071853751,0.016399042,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.540405863,0.74541412,0.792583888
1,13,0.071620387,0.017466441,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.542624859,0.748467151,0.786282335
1,14,0.071532338,0.018731642,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.545675929,0.752695372,0.65189513
1,15,0.074032654,0.0195411,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.553316295,0.763645513,0.650883937
1,16,0.068411516,0.016978075,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.486104346,0.662303742,0.566796277
1,17,0.059141933,0.013326891,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.407973544,0.545306513,0.501341748
1,18,0.05841253,0.012288311,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.403673082,0.539238069,0.462743114
1,19,0.053590518,0.010686659,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.34071194,0.443907606,0.457400445
1,20,0.051242346,0.010355476,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.334627429,0.435143739,0.418475979
1,21,0.017812588,0.002604008,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.192177167,0.225566592,0.244373488
1,22,0.015295635,0.002008913,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.173012492,0.196803455,0.167801078
1,23,0.014672464,0.004352614,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.177645774,0.203157267,0.217931999
