Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.139456024,0.150677688,0.132160991
1,1,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.139449702,0.150671365,0.139387682
1,2,0.006436953,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.13944338,0.150665044,0.150270552
1,3,0.006436953,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.139437058,0.150658721,0.135404324
1,4,0.006710345,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.140765528,0.152260583,0.161681074
1,5,0.007814586,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.159878064,0.17726207,0.193964838
1,6,0.009314993,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.167197255,0.186081668,0.197159889
1,7,0.011133642,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.230980464,0.270822365,0.267241475
1,8,0.023393288,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.455560785,0.565078849,0.6461325
1,9,0.022572664,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.451547887,0.560245329,0.597118006
1,10,0.021478603,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.446199971,0.553803351,0.522467432
1,11,0.021478695,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.446194101,0.553797573,0.537717888
1,12,0.020364251,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.44074667,0.547235698,0.469228178
1,13,0.021478421,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.446180115,0.553783313,0.616346297
1,14,0.021478012,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.446171798,0.553774586,0.484186584
1,15,0.021477869,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.446164782,0.553767428,0.526508768
1,16,0.023145184,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.454298878,0.563568839,0.551437839
1,17,0.021194512,0,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.389858445,0.478038894,0.515390079
1,18,0.016736028,0,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.313173989,0.377757115,0.366844603
1,19,0.016189547,0,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.310499554,0.374536199,0.367936613
1,20,0.012846083,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.239259021,0.280813363,0.251491226
1,21,0.012299693,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.236585032,0.277592984,0.2875383
1,22,0.007814556,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.159770448,0.177154425,0.19792805
1,23,0.006710345,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.140645414,0.152140469,0.132377491
2,0,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.139304299,0.150525963,0.132265289
2,1,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.139297978,0.150519642,0.16379417
