Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.124495753,0.150677688,0.153937263
1,1,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.124489431,0.150671365,0.155001478
1,2,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.12448311,0.150665044,0.162015824
1,3,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.124476787,0.150658721,0.144633049
1,4,0.015789046,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.125435375,0.152260583,0.13619727
1,5,0.018387262,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.136802486,0.17726207,0.189659034
1,6,0.021917629,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.142091716,0.186081668,0.176605049
1,7,0.026196804,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.178408594,0.270822365,0.258363672
1,8,0.055043031,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.31138492,0.565078849,0.499191192
1,9,0.053112152,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.308482278,0.560245329,0.608220629
1,10,0.050537889,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.304614563,0.553803351,0.558636254
1,11,0.050538107,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.304608568,0.553797573,0.558937663
1,12,0.047915885,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.300668914,0.547235698,0.561920318
1,13,0.05053746,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.304594954,0.553783313,0.548294278
1,14,0.050536498,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.304587189,0.553774586,0.621195486
1,15,0.050536164,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.304580366,0.553767428,0.510305651
1,16,0.054459257,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.310458684,0.563568839,0.60970168
1,17,0.04986944,0,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.2736632,0.478038894,0.487530136
1,18,0.03937889,0,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.228016616,0.377757115,0.40261309
1,19,0.038093052,0,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.226081538,0.374536199,0.358299539
1,20,0.030226077,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.184370319,0.280813363,0.321900397
1,21,0.028940455,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.182435563,0.277592984,0.308401949
1,22,0.018387192,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.136694911,0.177154425,0.200939048
1,23,0.015789046,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.125315261,0.152140469,0.15344
2,0,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.124344028,0.150525963,0.171703665
2,1,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.124337707,0.150519642,0.164394004
2,2,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.124331385,0.150513319,0.17289294
2,3,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.124325064,0.150506998,0.168078299
