Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132453299,0.150677688,0.161127181
1,1,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132446976,0.150671365,0.145176738
1,2,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132440655,0.150665044,0.158385101
1,3,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132434333,0.150658721,0.159733711
1,4,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.133537657,0.152260583,0.148396197
1,5,0.014250128,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.150039113,0.17726207,0.20092081
1,6,0.016986163,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.156122675,0.186081668,0.210841943
1,7,0.020302523,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.211601354,0.270822365,0.30487894
1,8,0.042658349,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.405665037,0.565078849,0.648072839
1,9,0.041161918,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.402327947,0.560245329,0.562665042
1,10,0.039166864,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397881023,0.553803351,0.608967201
1,11,0.039167033,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397875077,0.553797573,0.517847548
1,12,0.037134811,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.393345424,0.547235698,0.601292971
1,13,0.039166532,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397861318,0.553783313,0.543344609
1,14,0.039165786,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397853336,0.553774586,0.477199352
1,15,0.039165527,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397846438,0.553767428,0.486642885
1,16,0.042205924,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.404607451,0.563568839,0.491490839
1,17,0.038648816,0,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.348580273,0.478038894,0.511169761
1,18,0.03051864,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.282374329,0.377757115,0.381398065
1,19,0.029522116,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.280149938,0.374536199,0.400875119
1,20,0.02342521,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.218469665,0.280813363,0.24858071
1,21,0.022428852,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.216245644,0.277592984,0.264784324
1,22,0.014250074,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.149931522,0.177154425,0.152297705
1,23,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.133417543,0.152140469,0.149099346
2,0,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132301574,0.150525963,0.140540993
2,1,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132295253,0.150519642,0.134590453
2,2,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.13228893,0.150513319,0.141843222
2,3,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132282609,0.150506998,0.158795587
2,4,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.133385934,0.15210886,0.173240003
2,5,0.014250128,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.149887388,0.177110346,0.19720799
2,6,0.016988303,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.155975716,0.185936848,0.162695694
2,7,0.020309047,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.211464149,0.270691684,0.268379982
2,8,0.04265949,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.405515851,0.564930805,0.607116842
2,9,0.041160929,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.402174023,0.560090416,0.493477161
2,10,0.039166239,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397727906,0.553649609,0.528517671
2,11,0.039166339,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.39772181,0.553643613,0.521907516
2,12,0.037133844,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.393191545,0.547080853,0.566445022
2,13,0.039187617,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397756524,0.553699605,0.541793528
2,14,0.039206913,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397793153,0.553755529,0.556507632
2,15,0.039177419,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397721183,0.553654065,0.535301166
2,16,0.04220535,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.40445445,0.563415264,0.5398586
2,17,0.03864817,0,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.348427111,0.477885086,0.456201501
2,18,0.030517472,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.282220005,0.377601623,0.380020598
2,19,0.029520802,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.27999529,0.374380238,0.425437556
2,20,0.023423309,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.21831371,0.280655508,0.285232346
2,21,0.022426936,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.216089655,0.27743508,0.283118553
2,22,0.014250074,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.149779797,0.1770027,0.150538563
2,23,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.133265818,0.151988744,0.150647383
3,0,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.13214985,0.150374239,0.137896684
3,1,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132143528,0.150367917,0.129189569
3,2,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132137207,0.150361596,0.169851672
3,3,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.132130884,0.150355273,0.14426607
3,4,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.133234209,0.151957135,0.146008855
3,5,0.014250128,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.149735665,0.176958622,0.162025572
3,6,0.016990719,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.155829367,0.185792915,0.17811585
3,7,0.020299789,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.211291819,0.270510097,0.294229046
3,8,0.042656777,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.40535809,0.56477033,0.62679212
3,9,0.04116569,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.402032895,0.559954049,0.567338752
3,10,0.039227604,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.397712771,0.553695839,0.549140505
3,11,0.043553577,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.407335227,0.567644268,0.546881587
