Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.018932209,0.006906185,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.154632583,0.191507138,0.220330071
1,1,0.018932209,0.009106208,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.158067324,0.197141902,0.187109593
1,2,0.018932209,0.006848902,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.154530344,0.191347616,0.224513099
1,3,0.019736301,0.002583311,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.149058337,0.18241411,0.212913499
1,4,0.022984066,0.000193835,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.157662387,0.20291261,0.186861351
1,5,0.055676376,0.017167544,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.23324315,0.328159392,0.206828042
1,6,0.062740931,0.01435257,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.269335192,0.41264566,0.276283799
1,7,0.098891298,0.016107989,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.416013382,0.729663568,0.287057292
1,8,0.095476884,0.019385946,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.416012498,0.729526227,0.548264815
1,9,0.092193203,0.023524784,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.417554224,0.73192311,0.635561236
1,10,0.092347607,0.027062342,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.423312612,0.74137346,0.663675566
1,11,0.089161101,0.025150155,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.415535673,0.728497828,0.687498508
1,12,0.093106635,0.029091716,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.42761266,0.74846191,0.537377559
