Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.014672462,0.004958287,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165389974,0.191507138,0.179918713
1,1,0.014672462,0.006537791,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.169445234,0.197141902,0.190609452
1,2,0.014672462,0.004917161,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165271578,0.191347616,0.172776704
1,3,0.015295634,0.001854685,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.158777376,0.18241411,0.215877873
1,4,0.017812651,0.000139163,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171987967,0.20291261,0.210423302
1,5,0.043149191,0.012325416,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.259711956,0.328159392,0.190652727
1,6,0.048624222,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.314798541,0.41264566,0.277491529
1,7,0.076640756,0.01156471,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.524702638,0.729663568,0.286992803
1,8,0.073994585,0.013918115,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.524858063,0.729526227,0.546952908
1,9,0.071449732,0.016889589,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.526828325,0.73192311,0.631944558
1,10,0.071569395,0.019429374,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.533619227,0.74137346,0.696520039
1,11,0.069099853,0.018056521,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.52458599,0.728497828,0.69282342
1,12,0.072157642,0.02088636,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.538662444,0.74846191,0.619845014
1,13,0.072669149,0.022935299,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.545063336,0.757423248,0.71801832
1,14,0.073056828,0.025448147,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.552381521,0.76764196,0.679050578
1,15,0.075733708,0.027365482,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.563263705,0.783118359,0.7119603
1,16,0.069004914,0.023937602,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.491362423,0.675114744,0.710886771
1,17,0.058209116,0.01720742,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.401917135,0.542197817,0.527374806
1,18,0.059575719,0.014176149,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.397157912,0.535773926,0.50010332
1,19,0.053013745,0.012143754,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.329216329,0.433292316,0.484032321
1,20,0.052054568,0.011563613,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.325583274,0.428119943,0.301439358
1,21,0.021078309,0.005119475,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.191955732,0.231126345,0.377817603
1,22,0.016815745,0.007389454,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.176273001,0.206964615,0.195402664
1,23,0.018922863,0.00392079,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.172037293,0.201367361,0.205984274
2,0,0.014672462,0.005024241,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165407846,0.191590964,0.191071497
2,1,0.014672462,0.003327531,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.161038558,0.185524966,0.170403185
