Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors,,
1,0,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169780546,0.1980045,0.220330071,,152.8024914
1,1,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169774224,0.197998178,0.187109593,,152.7968016
1,2,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169767901,0.197991855,0.224513099,,152.7911109
1,3,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.16976158,0.197985534,0.212913499,,152.785422
1,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170961396,0.199989441,0.186861351,,153.8652564
1,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181487213,0.223054763,0.206828042,,163.3384917
1,6,0.039969845,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.206959538,0.265512854,0.276283799,,186.2635842
1,7,0.044805947,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.236849301,0.337405662,0.287057292,,213.1643709
1,8,0.085858073,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.366346958,0.619456272,0.548264815,,329.7122622
1,9,0.087615121,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368976208,0.62384257,0.635561236,,332.0785872
1,10,0.087910651,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.369413182,0.624575074,0.663675566,,332.4718638
1,11,0.089156702,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.371275937,0.62768388,0.687498508,,334.1483433
1,12,0.085755673,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.36616807,0.619174984,0.537377559,,329.551263
1,13,0.088803558,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370733576,0.626788375,0.550507458,,333.6602184
1,14,0.088595667,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370415417,0.626262325,0.621015211,,333.3738753
1,15,0.088563366,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370360645,0.626175252,0.70117295,,333.3245805
1,16,0.091776759,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.375174413,0.634202413,0.59447179,,337.6569717
1,17,0.08193163,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.337758466,0.549774394,0.557600895,,303.9826194
1,18,0.06784751,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.293984035,0.4547489,0.393028804,,264.5856315
1,19,0.063974527,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.288168237,0.445060119,0.458353799,,259.3514133
1,20,0.050901344,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.245910212,0.35256197,0.310704101,,221.3191908
1,21,0.045445368,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.237719926,0.338915708,0.310632534,,213.9479334
1,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181379608,0.22294707,0.250848924,,163.2416472
1,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170841282,0.199869327,0.207167308,,153.7571538
2,0,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169628822,0.197852775,0.222228531,,152.6659398
2,1,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169622499,0.197846452,0.18313472,,152.6602491
2,2,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169616178,0.197840131,0.225490396,,152.6545602
