Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.17777123,0.1980045,0.179918713
1,1,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177764908,0.197998178,0.190609452
1,2,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177758585,0.197991855,0.172776704
1,3,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177752264,0.197985534,0.215877873
1,4,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.179133,0.199989441,0.210423302
1,5,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.1941205,0.223054763,0.190652727
1,6,0.03097663,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.223414622,0.265512854,0.277491529
1,7,0.034724609,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.269316246,0.337405662,0.286992803
1,8,0.066540007,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.452821844,0.619456272,0.546952908
1,9,0.067901719,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.45584643,0.62384257,0.631944558
1,10,0.068130755,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.456349898,0.624575074,0.696520039
1,11,0.069096444,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.458493015,0.62768388,0.69282342
1,12,0.066460647,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.452619916,0.619174984,0.619845014
1,13,0.068822757,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.457871197,0.626788375,0.71801832
1,14,0.068661642,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.457506262,0.626262325,0.679050578
1,15,0.068636609,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.457444222,0.626175252,0.7119603
1,16,0.071126989,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.462981003,0.634202413,0.710886771
1,17,0.063497013,0,0,0,0.015550307,0.012460182,0,0,0,0.049840727,0.408426165,0.549774394,0.527374806
1,18,0.052581821,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.346559068,0.4547489,0.50010332
1,19,0.049580258,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.33987185,0.445060119,0.484032321
1,20,0.039448542,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.279748621,0.35256197,0.301439358
1,21,0.03522016,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.270330741,0.338915708,0.377817603
1,22,0.017812593,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.194012875,0.22294707,0.195402664
1,23,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.179012886,0.199869327,0.205984274
2,0,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177619506,0.197852775,0.191071497
2,1,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177613183,0.197846452,0.170403185
2,2,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.177606862,0.197840131,0.181732927
2,3,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.17760054,0.197833809,0.173181022
2,4,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178981277,0.199837718,0.217584084
2,5,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.193968775,0.222903038,0.243433132
2,6,0.020063378,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.198972111,0.230157091,0.235691017
2,7,0.027763254,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.253669894,0.314797955,0.330759766
2,8,0.060410441,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.439026892,0.599531754,0.589983364
2,9,0.061287474,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.440972676,0.602354571,0.638735353
2,10,0.064955769,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.449131271,0.614181461,0.597281385
2,11,0.067867756,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.455606466,0.623568643,0.613605793
2,12,0.065671585,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.450711893,0.616477899,0.688432258
2,13,0.068319852,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.456600102,0.625014375,0.560329961
2,14,0.068369701,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.456704736,0.625168858,0.601612833
2,15,0.068603195,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.457218124,0.62591574,0.703255141
2,16,0.071116431,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.462805779,0.634016631,0.698917996
2,17,0.063988428,0,0,0,0.015550307,0.012460182,0,0,0,0.049840727,0.409368235,0.551207879,0.471627057
2,18,0.050404593,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.341561256,0.44757386,0.420446028
2,19,0.047760093,0,0,0,0.011107362,0.00890013,0,0,0,0.035600519,0.335668791,0.439036895,0.479073886
2,20,0.036357963,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.272717867,0.342440637,0.381710326
2,21,0.033624417,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.266627202,0.333616426,0.336435208
