Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.174926718,0.187757618,0.218083509
1,1,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.174920396,0.187751296,0.191879964
1,2,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.174914073,0.187744973,0.199584667
1,3,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.176917982,0.189748882,0.181917404
1,4,0.00804619,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.195948219,0.213563828,0.170728635
1,5,0.00804619,0.004646167,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.301303891,0.323565667,0.232631678
1,6,0.00804619,0.003680146,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.37547002,0.415904615,0.248650436
1,7,0.00804619,0.004148078,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.638969446,0.737288491,0.328437277
1,8,0.00804619,0.004961842,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.644698218,0.743831027,0.578049518
1,9,0.00804619,0.005482081,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.644693817,0.744346865,0.639424507
1,10,0.00804619,0.005659129,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.644605182,0.744435278,0.554926888
1,11,0.00804619,0.005087667,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.631519741,0.730778375,0.656865192
1,12,0.00804619,0.005856801,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.645386352,0.74541412,0.694318622
1,13,0.00804619,0.006238015,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.648058169,0.748467151,0.71327471
1,14,0.00804619,0.006689872,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.651834533,0.752695372,0.536630638
1,15,0.00804619,0.006978964,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.662495582,0.763645513,0.544134103
1,16,0.00804619,0.006063598,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.581208017,0.662303742,0.691162354
1,17,0.00804619,0.004759604,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.484653621,0.545306513,0.602011113
1,18,0.00804619,0.004388683,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.478956098,0.539238069,0.433355522
1,19,0.00804619,0.003816664,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.403336493,0.443907606,0.462149122
1,20,0.00804619,0.003698384,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.394690906,0.435143739,0.383534439
1,21,0.00804619,0.000930003,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.20702098,0.225566592,0.326675696
1,22,0.00804619,0.000717469,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.183255086,0.196803455,0.227134919
1,23,0.00804619,0.001554505,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.188771862,0.203157267,0.193685982
2,0,0.00804619,4.97E-05,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.175222304,0.188102905,0.178980311
2,1,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.174768672,0.187599572,0.210718844
2,2,0.00804619,0.000149104,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.176104282,0.189084286,0.172734026
2,3,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.176766257,0.189597157,0.201167108
2,4,0.00804619,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.195796495,0.213412104,0.211374122
2,5,0.00804619,0.005027053,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.283174383,0.305817045,0.230301418
2,6,0.00804619,0.00370989,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.365255413,0.405719752,0.219676286
2,7,0.00804619,0.005207821,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.641996604,0.741375392,0.31784784
2,8,0.00804619,0.005843928,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.644717622,0.744732517,0.678247827
2,9,0.00804619,0.006252477,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.641619599,0.742043043,0.594029039
2,10,0.00804619,0.006456847,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.645665427,0.746293241,0.692717578
2,11,0.00804619,0.005685711,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.632746875,0.732603553,0.547213728
2,12,0.00804619,0.006430518,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.651134235,0.75173572,0.627007907
