Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.157789246,0.187757618,0.220330071
1,1,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.157782924,0.187751296,0.187109593
1,2,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.157776601,0.187744973,0.224513099
1,3,0.019736303,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.158976418,0.189748882,0.212913499
1,4,0.021859902,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.169631604,0.213563828,0.186861351
1,5,0.047278498,0.018120051,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.236094796,0.323565667,0.206828042
1,6,0.058461057,0.01435257,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.276874021,0.415904615,0.276283799
1,7,0.096286513,0.016177505,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.426173574,0.737288491,0.287057292
1,8,0.095651002,0.019351182,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.430177944,0.743831027,0.548264815
1,9,0.093778908,0.021380115,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.430536943,0.744346865,0.635561236
1,10,0.09310861,0.022070602,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.430605167,0.744435278,0.663675566
1,11,0.089934225,0.019841902,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.422351349,0.730778375,0.687498508
1,12,0.092714518,0.022841523,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.43120718,0.74541412,0.537377559
1,13,0.092413403,0.024328257,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.433074592,0.748467151,0.550507458
1,14,0.09229979,0.026090501,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.435654182,0.752695372,0.621015211
1,15,0.095526006,0.027217961,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.442250647,0.763645513,0.70117295
1,16,0.088272924,0.023648033,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.395876531,0.662303742,0.59447179
1,17,0.076312171,0.018562455,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.340070278,0.545306513,0.557600895
1,18,0.075371007,0.017115862,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.336389591,0.539238069,0.393028804
1,19,0.069149056,0.01488499,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.293656593,0.443907606,0.458353799
1,20,0.066119156,0.014423699,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.288383917,0.435143739,0.310704101
1,21,0.022983984,0.003627012,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.176883274,0.225566592,0.310632534
1,22,0.019736303,0.002798128,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.163232863,0.196803455,0.250848924
1,23,0.018932211,0.00606257,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.167126325,0.203157267,0.207167308
2,0,0.018932211,0.000193835,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.157940698,0.188102905,0.222228531
2,1,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.1576312,0.187599572,0.18313472
2,2,0.018932211,0.000581504,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.15853441,0.189084286,0.225490396
2,3,0.019736303,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.158824693,0.189597157,0.19998343
2,4,0.021859902,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.16947988,0.213412104,0.225152275
2,5,0.038716196,0.019605506,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.225423021,0.305817045,0.20425584
2,6,0.054328828,0.014468569,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.270705388,0.405719752,0.231462107
2,7,0.093742992,0.020310501,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.428671,0.741375392,0.27076637
2,8,0.092543943,0.022791319,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.430746356,0.744732517,0.541044817
2,9,0.089836485,0.02438466,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.429170999,0.742043043,0.565986137
2,10,0.090721613,0.025181703,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.431739026,0.746293241,0.54242483
2,11,0.088332811,0.022174273,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.42344557,0.732603553,0.534609826
2,12,0.093008977,0.025079021,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.434996823,0.75173572,0.556809987
2,13,0.093346434,0.026544081,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.437788191,0.756329605,0.70911221
2,14,0.093005015,0.029849012,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.442438992,0.763943918,0.580639526
2,15,0.095802708,0.031750717,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.44960367,0.775807994,0.711005559
2,16,0.088681313,0.026557253,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.400887707,0.670632527,0.563999297
2,17,0.075896254,0.019828108,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.341274288,0.547360259,0.537668423
2,18,0.073117065,0.017675827,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.333732795,0.534887296,0.463636374
2,19,0.065205925,0.01504589,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.287841839,0.434310621,0.404600002
2,20,0.061731043,0.014576662,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.281889272,0.424413944,0.317782313
2,21,0.022983984,0.00672614,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181578905,0.233361351,0.333297655
2,22,0.019736303,0.00672614,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169224952,0.206723556,0.229377015
2,23,0.018932211,0.005488554,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.166076779,0.201533705,0.205151744
3,0,0.018932211,0.004729995,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164883995,0.199582362,0.223897144
3,1,0.018932211,0.002674567,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.161662771,0.19430571,0.187691742
3,2,0.018932211,0.005814161,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.166567096,0.202349629,0.215134962
3,3,0.019736303,0.006241553,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.168435399,0.205449416,0.226359379
3,4,0.021859902,0.000542737,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.170177052,0.214652013,0.206711782
3,5,0.027618899,0.018780332,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.207334695,0.275806248,0.216316272
3,6,0.045229246,0.01449649,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.256947961,0.382890664,0.256587238
3,7,0.091889465,0.01807841,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.422247766,0.73086654,0.276895047
3,8,0.091497427,0.021379164,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.426816107,0.738343597,0.667495651
3,9,0.089710775,0.023493018,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.427436089,0.739290781,0.509659226
3,10,0.090613062,0.024513753,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.430379734,0.744157448,0.523386641
3,11,0.087881593,0.022246752,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.422730385,0.731509629,0.537104082
3,12,0.09275871,0.028562025,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.439917472,0.759889106,0.708133363
3,13,0.092671708,0.033249745,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.447112723,0.771685075,0.613728298
3,14,0.092406736,0.039198645,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.456013632,0.786269912,0.692501685
3,15,0.095260198,0.045793025,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.470601791,0.810305913,0.703784565
3,16,0.087962101,0.036723451,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.415558144,0.69474995,0.55029996
