Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.003560052,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.166598739,0.187757618,0.179918713
1,1,0.003560052,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.166592417,0.187751296,0.190609452
1,2,0.003560052,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.166586094,0.187744973,0.172776704
1,3,0.003560052,0.015295635,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.167966832,0.189748882,0.215877873
1,4,0.007120104,0.016941424,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.183649575,0.213563828,0.210423302
1,5,0.007120104,0.036640836,0.013009268,0,0.001851227,0.002221472,0.001780026,0,0,0,0.260942734,0.323565667,0.190652727
1,6,0.021360312,0.045307319,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.321374399,0.415904615,0.277491529
1,7,0.064080935,0.074622048,0.011614619,0,0.016661043,0.019993252,0.016020234,0,0,0,0.53429636,0.737288491,0.286992803
1,8,0.064080935,0.074129526,0.013893156,0,0.016661043,0.019993252,0.016020234,0,0,0,0.539052881,0.743831027,0.546952908
1,9,0.064080935,0.072678654,0.015349826,0,0.016661043,0.019993252,0.016020234,0,0,0,0.539562921,0.744346865,0.631944558
1,10,0.064080935,0.072159173,0.015845561,0,0.016661043,0.019993252,0.016020234,0,0,0,0.53967508,0.744435278,0.696520039
1,11,0.064080935,0.069699024,0.014245468,0,0.016661043,0.019993252,0.016020234,0,0,0,0.530078419,0.730778375,0.69282342
1,12,0.064080935,0.071853751,0.016399042,0,0.016661043,0.019993252,0.016020234,0,0,0,0.540405863,0.74541412,0.619845014
1,13,0.064080935,0.071620387,0.017466441,0,0.016661043,0.019993252,0.016020234,0,0,0,0.542624859,0.748467151,0.71801832
1,14,0.064080935,0.071532338,0.018731642,0,0.016661043,0.019993252,0.016020234,0,0,0,0.545675928,0.752695372,0.679050578
1,15,0.064080935,0.074032654,0.0195411,0,0.016661043,0.019993252,0.016020234,0,0,0,0.553316295,0.763645513,0.7119603
1,16,0.049840727,0.068411516,0.016978075,0,0.012958589,0.015550307,0.012460182,0,0,0,0.486104346,0.662303742,0.710886771
1,17,0.035600519,0.059141933,0.013326891,0,0.009256135,0.011107362,0.00890013,0,0,0,0.407973543,0.545306513,0.527374806
1,18,0.035600519,0.05841253,0.012288311,0,0.009256135,0.011107362,0.00890013,0,0,0,0.403673082,0.539238069,0.50010332
1,19,0.021360312,0.053590518,0.010686659,0,0.005553681,0.006664417,0.005340078,0,0,0,0.340711941,0.443907606,0.484032321
1,20,0.021360312,0.051242346,0.010355476,0,0.005553681,0.006664417,0.005340078,0,0,0,0.334627429,0.435143739,0.301439358
1,21,0.007120104,0.017812588,0.002604008,0,0.001851227,0.002221472,0.001780026,0,0,0,0.192177167,0.225566592,0.377817603
1,22,0.003560052,0.015295635,0.002008913,0,0.000925614,0.001110736,0.000890013,0,0,0,0.173012492,0.196803455,0.195402664
1,23,0.003560052,0.014672464,0.004352614,0,0.000925614,0.001110736,0.000890013,0,0,0,0.177645774,0.203157267,0.205984274
2,0,0.003560052,0.014672464,0.000139163,0,0.000925614,0.001110736,0.000890013,0,0,0,0.166804863,0.188102905,0.191071497
2,1,0.003560052,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.166440693,0.187599572,0.170403185
2,2,0.003560052,0.014672464,0.00041749,0,0.000925614,0.001110736,0.000890013,0,0,0,0.167507917,0.189084286,0.181732927
2,3,0.003560052,0.015295635,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.167815107,0.189597157,0.173181022
2,4,0.007120104,0.016941424,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.183497851,0.213412104,0.217584084
2,5,0.007120104,0.030005052,0.014075748,0,0.001851227,0.002221472,0.001780026,0,0,0,0.248763416,0.305817045,0.243433132
2,6,0.021360312,0.042104842,0.010387691,0,0.005553681,0.006664417,0.005340078,0,0,0,0.314308731,0.405719752,0.235691017
2,7,0.064080935,0.072650819,0.014581898,0,0.016661043,0.019993252,0.016020234,0,0,0,0.537387211,0.741375392,0.330759766
2,8,0.064080935,0.071721556,0.016362998,0,0.016661043,0.019993252,0.016020234,0,0,0,0.539892499,0.744732517,0.589983364
2,9,0.064080935,0.069623276,0.017506936,0,0.016661043,0.019993252,0.016020234,0,0,0,0.538157367,0.742043043,0.638735353
2,10,0.064080935,0.07030925,0.018079172,0,0.016661043,0.019993252,0.016020234,0,0,0,0.541149355,0.746293241,0.597281385
2,11,0.064080935,0.068457928,0.015919991,0,0.016661043,0.019993252,0.016020234,0,0,0,0.53147017,0.732603553,0.613605793
2,12,0.064080935,0.072081957,0.018005451,0,0.016661043,0.019993252,0.016020234,0,0,0,0.544892848,0.75173572,0.688432258
2,13,0.064080935,0.072343487,0.019057289,0,0.016661043,0.019993252,0.016020234,0,0,0,0.548173365,0.756329605,0.560329961
2,14,0.064080935,0.072078887,0.02143006,0,0.016661043,0.019993252,0.016020234,0,0,0,0.553679507,0.763943918,0.601612833
2,15,0.064080935,0.074247099,0.022795386,0,0.016661043,0.019993252,0.016020234,0,0,0,0.562010045,0.775807994,0.703255141
