Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185494003,0.1980045,0.218083509
1,1,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185487681,0.197998178,0.191879964
1,2,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185481358,0.197991855,0.199584667
1,3,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.185475037,0.197985534,0.181917404
1,4,0.008387931,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.187137205,0.199989441,0.170728635
1,5,0.009768234,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.204357919,0.223054763,0.232631678
1,6,0.016987184,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.23959706,0.265512854,0.248650436
1,7,0.019042527,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.291577304,0.337405662,0.328437277
1,8,0.036489681,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.502609098,0.619456272,0.578049518
1,9,0.037236426,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.506248651,0.62384257,0.639424507
1,10,0.037362027,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.506855554,0.624575074,0.554926888
1,11,0.037891599,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.509434788,0.62768388,0.656865192
1,12,0.036446161,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.50237133,0.619174984,0.694318622
1,13,0.037741512,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.50868937,0.626788375,0.71327471
1,14,0.037653158,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.508251674,0.626262325,0.536630638
1,15,0.037639431,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.508178328,0.626175252,0.544134103
1,16,0.039005123,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.514839797,0.634202413,0.691162354
1,17,0.034820943,0,0,0,0.007177065,0.00548248,0,0,0,0.049840727,0.452453179,0.549774394,0.602011113
1,18,0.028835192,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.381270657,0.4547489,0.433355522
1,19,0.027189174,0,0,0,0.005126475,0.003916057,0,0,0,0.035600519,0.373227894,0.445060119,0.462149122
