Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169780546,0.1980045,0.220330071
1,1,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169774224,0.197998178,0.187109593
1,2,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169767901,0.197991855,0.224513099
1,3,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.16976158,0.197985534,0.212913499
1,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170961396,0.199989441,0.186861351
1,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181487213,0.223054763,0.206828042
1,6,0.039969845,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.206959538,0.265512854,0.276283799
1,7,0.044805947,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.236849301,0.337405662,0.287057292
1,8,0.085858073,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.366346958,0.619456272,0.548264815
1,9,0.087615121,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368976208,0.62384257,0.635561236
1,10,0.087910651,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.369413182,0.624575074,0.663675566
1,11,0.089156702,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.371275937,0.62768388,0.687498508
1,12,0.085755673,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.36616807,0.619174984,0.537377559
1,13,0.088803558,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370733576,0.626788375,0.550507458
1,14,0.088595667,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370415417,0.626262325,0.621015211
1,15,0.088563366,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370360645,0.626175252,0.70117295
1,16,0.091776759,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.375174413,0.634202413,0.59447179
1,17,0.08193163,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.337758466,0.549774394,0.557600895
1,18,0.06784751,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.293984035,0.4547489,0.393028804
1,19,0.063974527,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.288168237,0.445060119,0.458353799
1,20,0.050901344,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.245910212,0.35256197,0.310704101
1,21,0.045445368,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.237719926,0.338915708,0.310632534
1,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181379608,0.22294707,0.250848924
1,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170841282,0.199869327,0.207167308
2,0,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169628822,0.197852775,0.222228531
2,1,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169622499,0.197846452,0.18313472
2,2,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169616178,0.197840131,0.225490396
2,3,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169609856,0.197833809,0.19998343
2,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170809673,0.199837718,0.225152275
2,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181335488,0.222903038,0.20425584
2,6,0.025888229,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.185685391,0.230157091,0.231462107
2,7,0.035823554,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.223223987,0.314797955,0.27076637
2,8,0.077948956,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.354331557,0.599531754,0.541044817
2,9,0.079080611,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.356022719,0.602354571,0.565986137
2,10,0.083813896,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.363116324,0.614181461,0.54242483
2,11,0.087571298,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368746104,0.623568643,0.534609826
2,12,0.084737529,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.364489129,0.616477899,0.556809987
2,13,0.088154648,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.369608486,0.625014375,0.70911221
2,14,0.08821897,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.369698647,0.625168858,0.580639526
2,15,0.088520251,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.370144248,0.62591574,0.711005559
2,16,0.091763136,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.375002254,0.634016631,0.563999297
2,17,0.082565713,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.338557868,0.551207879,0.537668423
2,18,0.065038184,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.289618321,0.44757386,0.463636374
2,19,0.061625927,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.284493613,0.439036895,0.404600002
2,20,0.0469135,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.239776723,0.342440637,0.317782313
2,21,0.043386345,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.234479667,0.333616426,0.333297655
2,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181227885,0.222795347,0.229377015
2,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170689557,0.199717602,0.205151744
3,0,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169477098,0.197701051,0.223897144
3,1,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169470776,0.197694729,0.187691742
3,2,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169464453,0.197688406,0.215134962
3,3,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169458132,0.197682085,0.226359379
3,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170657948,0.199685993,0.206711782
3,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.181183763,0.222751313,0.216316272
3,6,0.025869437,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.185505478,0.229958386,0.256587238
3,7,0.032733306,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.21843689,0.30692061,0.276895047
3,8,0.071622793,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.34469059,0.583564624,0.667495651
3,9,0.077946311,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.354169544,0.599367096,0.509659226
3,10,0.083861983,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.36303673,0.614149954,0.523386641
3,11,0.088474023,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.369948469,0.625673733,0.537104082
3,12,0.08563624,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.365685472,0.618572953,0.708133363
3,13,0.089595246,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.371617659,0.628464146,0.613728298
3,14,0.090220544,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.372549285,0.63002107,0.692501685
3,15,0.090644381,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.373178718,0.63107434,0.703784565
3,16,0.0938667,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.378005875,0.639123816,0.55029996
3,17,0.085362921,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.342601953,0.558049172,0.526877626
3,18,0.064707359,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.288970358,0.446595072,0.413418714
3,19,0.054608878,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.273816315,0.421342548,0.371471975
3,20,0.044870401,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.236560348,0.337181163,0.353484424
3,21,0.039694195,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.228789719,0.324234328,0.319657115
3,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.18107616,0.222643622,0.251639897
3,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170537833,0.199565878,0.229471283
4,0,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169325373,0.197549326,0.176641773
4,1,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169319051,0.197543004,0.223017129
4,2,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.16931273,0.197536683,0.174667294
4,3,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169306407,0.19753036,0.181580457
4,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170506224,0.199534269,0.215875595
4,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.18103204,0.22259959,0.251082585
4,6,0.025880209,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.185369912,0.229833592,0.261133908
4,7,0.032732096,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.218283353,0.306765863,0.29854918
4,8,0.068798471,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.340302383,0.576352095,0.655522581
4,9,0.072544878,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.34591567,0.585711789,0.570962008
4,10,0.074419946,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.348721952,0.590393139,0.519184688
4,11,0.076755879,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.352219528,0.596226648,0.604021297
4,12,0.079947872,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.357001196,0.604200309,0.599999685
4,13,0.087190339,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.367858574,0.622300154,0.641784268
4,14,0.087897327,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368912734,0.624061302,0.648004563
4,15,0.087933834,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368961172,0.624146247,0.666567725
4,16,0.090675685,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.373067628,0.630994554,0.623418124
4,17,0.082119934,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.337585749,0.549789981,0.618545149
4,18,0.064536337,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.288562101,0.446015793,0.403980273
4,19,0.05229019,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.270186557,0.415394102,0.421858415
4,20,0.040351393,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.229630112,0.325731919,0.295930382
4,21,0.038412337,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.226715207,0.320877958,0.3566518
4,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.180924436,0.222491898,0.239269275
4,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170386108,0.199414153,0.208821679
5,0,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169173648,0.197397601,0.204242734
5,1,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169167327,0.19739128,0.168281398
5,2,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169161005,0.197384958,0.2047946
5,3,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169154684,0.197378637,0.180009038
5,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170354499,0.199382544,0.202185375
5,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.180880314,0.222447864,0.18962032
5,6,0.02529136,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.184334914,0.228209745,0.223040285
5,7,0.033415275,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.219156394,0.308322083,0.338571223
5,8,0.07059781,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.342849667,0.580698718,0.583756459
5,9,0.079700868,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.356497932,0.603450041,0.665664852
5,10,0.085190561,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.364726149,0.617167951,0.589293802
5,11,0.087167369,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.367685039,0.622103649,0.542049017
5,12,0.084763474,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.364072874,0.616087589,0.7031713
5,13,0.088575764,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.369784987,0.625611992,0.585660117
5,14,0.088114554,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.36908685,0.624452645,0.635682037
5,15,0.087499322,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368157681,0.622908244,0.705301751
5,16,0.090920637,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.373283331,0.631455209,0.626121609
5,17,0.083791847,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.339941893,0.553818038,0.561602868
5,18,0.061560286,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.283946301,0.438423942,0.378060367
5,19,0.047609264,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.263013445,0.403540064,0.453008312
5,20,0.03777375,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.225611923,0.319136087,0.351269513
5,21,0.036166047,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.223194049,0.31511051,0.288913217
5,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.180772711,0.222340173,0.237419369
5,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170234383,0.199262428,0.183031528
6,0,0.015653222,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164103431,0.189048389,0.217077881
6,1,0.015653222,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164097108,0.189042066,0.185981002
6,2,0.015653222,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164090787,0.189035745,0.180854794
6,3,0.015653222,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.164084465,0.189029423,0.204865141
6,4,0.016457314,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.165284281,0.191033331,0.163117596
6,5,0.018065586,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.167690368,0.19504769,0.179535325
6,6,0.02524023,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.184106495,0.227930196,0.253447021
6,7,0.027989799,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.188224527,0.234797797,0.203772698
6,8,0.054112711,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.272686431,0.419716497,0.436236043
6,9,0.061279481,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.283430263,0.437627099,0.421172623
6,10,0.060239956,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.281864655,0.435021966,0.396585803
