,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour1,0.008046189,0.001770817,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0.004958287,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932209,0.006906185,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.191507138,0.191507138,0.191507138,0.014601716,0.026117164,0.036874556
Hour2,0.008046189,0.002334925,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0.006537791,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932209,0.009106208,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197141902,0.197141902,0.197141902,0.015165824,0.027696668,0.039074579
Hour3,0.008046189,0.001756129,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672462,0.004917161,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932209,0.006848902,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.191347616,0.191347616,0.191347616,0.014587028,0.026076038,0.036817273
Hour4,0.008387928,0.000662387,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295634,0.001854685,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736301,0.002583311,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.18241411,0.18241411,0.18241411,0.013835025,0.023636733,0.033355774
Hour5,0.009768228,4.97012E-05,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.017812651,0.000139163,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.022984066,0.000193835,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.20291261,0.20291261,0.20291261,0.019387349,0.030924644,0.045250224
Hour6,0.02366246,0.004401934,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.043149191,0.012325416,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.055676376,0.017167544,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.328159392,0.328159392,0.328159392,0.037633814,0.068447437,0.094916242
Hour7,0.026664896,0.003680146,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.048624222,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.062740931,0.01435257,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.41264566,0.41264566,0.41264566,0.059053301,0.09784712,0.143310469
Hour8,0.042028802,0.004130254,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.076640756,0.01156471,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.098891298,0.016107989,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.729663568,0.729663568,0.729663568,0.132283832,0.20496093,0.313650186
Hour9,0.040577676,0.004970755,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.073994585,0.013918115,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.095476884,0.019385946,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.729526227,0.729526227,0.729526227,0.131673208,0.204668163,0.313513728
Hour10,0.039182111,0.006031996,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071449732,0.016889589,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092193203,0.023524784,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.73192311,0.73192311,0.73192311,0.131338884,0.205094784,0.314368885
