,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT,,,,,,,,,,,
Hour1,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.1980045,0.1980045,0.1980045,0.012510498,0.02023327,0.028223953,,17.0389962,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour2,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197998178,0.197998178,0.197998178,0.012510498,0.02023327,0.028223953,,17.0389962,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour3,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197991855,0.197991855,0.197991855,0.012510498,0.02023327,0.028223953,,17.0389962,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour4,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672469,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932218,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197985534,0.197985534,0.197985534,0.012510498,0.02023327,0.028223953,,17.0389962,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour5,0.008387931,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.199989441,0.199989441,0.199989441,0.012852237,0.020856441,0.029028045,,17.7626781,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour6,0.009768234,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.223054763,0.223054763,0.223054763,0.018696844,0.028934264,0.041567551,,20.6856711,0,0,0,3.8448558,3.2681277,3.2040468,0,0,6.4080936
Hour7,0.016987184,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.03097663,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.039969845,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.265512854,0.265512854,0.265512854,0.025915794,0.042098232,0.058553316,,35.9728605,0,0,0,3.8448558,3.2681277,3.2040468,0,0,6.4080936
Hour8,0.019042527,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.034724609,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.044805947,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.337405662,0.337405662,0.337405662,0.045828359,0.068089416,0.100556361,,40.3253523,0,0,0,11.5345683,9.8043831,9.6121404,0,0,19.2242808
Hour9,0.036489681,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.066540007,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.085858073,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.619456272,0.619456272,0.619456272,0.116847174,0.166634427,0.253109313,,77.2722657,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour10,0.037236426,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.067901719,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.087615121,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.62384257,0.62384257,0.62384257,0.117593919,0.167996139,0.254866361,,78.8536089,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour11,0.037362027,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.068130755,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.087910651,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.624575074,0.624575074,0.624575074,0.117719519,0.168225175,0.255161892,,79.1195859,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour12,0.037891599,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.069096444,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.089156702,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.62768388,0.62768388,0.62768388,0.118249091,0.169190865,0.256407943,,80.2410318,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour13,0.036446161,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.066460647,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.085755673,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.619174984,0.619174984,0.619174984,0.116803654,0.166555067,0.253006913,,77.1801057,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour14,0.037741512,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.068822757,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.088803558,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.626788375,0.626788375,0.626788375,0.118099005,0.168917178,0.256054798,,79.9232022,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
