,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour1,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.187757618,0.187757618,0.187757618,0.0128309,0.021158878,0.029968372
Hour2,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.187751296,0.187751296,0.187751296,0.0128309,0.021158878,0.029968372
Hour3,0.00804619,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.014672464,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.018932211,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.187744973,0.187744973,0.187744973,0.0128309,0.021158878,0.029968372
Hour4,0.008387929,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295635,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736303,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.189748882,0.189748882,0.189748882,0.013172639,0.02178205,0.030772464
Hour5,0.009290458,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.016941424,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.021859902,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.213563828,0.213563828,0.213563828,0.018859878,0.029914254,0.043932225
Hour6,0.020093362,0.004646167,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.036640836,0.013009268,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.047278498,0.018120051,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.323565667,0.323565667,0.323565667,0.034308948,0.062622933,0.087470872
Hour7,0.024845949,0.003680146,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.045307319,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.058461057,0.01435257,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.415904615,0.415904615,0.415904615,0.057234355,0.094530217,0.139030594
Hour8,0.040921768,0.004148078,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.074622048,0.011614619,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.096286513,0.016177505,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.737288491,0.737288491,0.737288491,0.131194623,0.20299213,0.311114916
Hour9,0.040651676,0.004961842,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.074129526,0.013893156,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.095651002,0.019351182,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.743831027,0.743831027,0.743831027,0.131738294,0.204778146,0.313653082
Hour10,0.039856036,0.005482081,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.072678654,0.015349826,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.093778908,0.021380115,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.744346865,0.744346865,0.744346865,0.131462894,0.204783944,0.313809922
