,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour1,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150677688,0.150677688,0.150677688,0.011221663,0.018224389,0.026181934
Hour2,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150671365,0.150671365,0.150671365,0.011221663,0.018224389,0.026181934
Hour3,0.006436953,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150665044,0.150665044,0.150665044,0.011221663,0.018224389,0.026181934
Hour4,0.006436953,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150658721,0.150658721,0.150658721,0.011221663,0.018224389,0.026181934
Hour5,0.006710345,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015789046,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.152260583,0.152260583,0.152260583,0.011495055,0.018722926,0.026825208
Hour6,0.007814586,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.014250128,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.018387262,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.17726207,0.17726207,0.17726207,0.017384006,0.027222957,0.040459584
Hour7,0.009314993,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.016986163,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.021917629,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.186081668,0.186081668,0.186081668,0.018884412,0.029958992,0.043989952
Hour8,0.011133642,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.020302523,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.026196804,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.270822365,0.270822365,0.270822365,0.039841901,0.059221012,0.092413772
Hour9,0.023393288,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.042658349,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.055043031,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.565078849,0.565078849,0.565078849,0.109518065,0.159413813,0.25369393
Hour10,0.022572664,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.041161918,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.053112152,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.560245329,0.560245329,0.560245329,0.108697441,0.157917381,0.25176305
Hour11,0.021478603,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039166864,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.050537889,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553803351,0.553803351,0.553803351,0.107603379,0.155922328,0.249188787
Hour12,0.021478695,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039167033,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.050538107,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553797573,0.553797573,0.553797573,0.107603472,0.155922496,0.249189005
Hour13,0.020364251,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.037134811,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.047915885,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.547235698,0.547235698,0.547235698,0.106489028,0.153890275,0.246566784
Hour14,0.021478421,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039166532,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.05053746,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553783313,0.553783313,0.553783313,0.107603197,0.155921995,0.249188359
Hour15,0.021478012,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039165786,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.050536498,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553774586,0.553774586,0.553774586,0.107602788,0.15592125,0.249187397
Hour16,0.021477869,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039165527,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.050536164,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553767428,0.553767428,0.553767428,0.107602646,0.15592099,0.249187062
Hour17,0.023145184,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.042205924,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.054459257,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.563568839,0.563568839,0.563568839,0.109269961,0.158961388,0.253110155
Hour18,0.021194512,0,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.038648816,0,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.04986944,0,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.478038894,0.478038894,0.478038894,0.088180449,0.12945862,0.204375694
Hour19,0.016736028,0,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.03051864,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.03937889,0,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.377757115,0.377757115,0.377757115,0.064583126,0.095382785,0.149740499
Hour20,0.016189547,0,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.029522116,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.038093052,0,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.374536199,0.374536199,0.374536199,0.064036645,0.094386261,0.148454661
Hour21,0.012846083,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.02342521,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.030226077,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.280813363,0.280813363,0.280813363,0.041554342,0.062343698,0.096443044
Hour22,0.012299693,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.022428852,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.028940455,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.277592984,0.277592984,0.277592984,0.041007953,0.061347341,0.095157422
Hour23,0.007814556,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.014250074,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.018387192,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.177154425,0.177154425,0.177154425,0.017383976,0.027222903,0.040459514
Hour24,0.006710345,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.012236511,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015789046,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.152140469,0.152140469,0.152140469,0.011495055,0.018722926,0.026825208
Hour25,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150525963,0.150525963,0.150525963,0.011221663,0.018224389,0.026181934
Hour26,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150519642,0.150519642,0.150519642,0.011221663,0.018224389,0.026181934
Hour27,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150513319,0.150513319,0.150513319,0.011221663,0.018224389,0.026181934
Hour28,0.006436954,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.011737974,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.015145773,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.150506998,0.150506998,0.150506998,0.011221663,0.018224389,0.026181934
