Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.004259749,0,0,0,0.004259749,0.000320405,0,0,0,0.002136031,0.190861109,0.1980045,0.179918713
1,1,0.004259749,0,0,0,0.004259749,0.000320405,0,0,0,0.002136031,0.190854787,0.197998178,0.190609452
1,2,0.004259749,0,0,0,0.004259749,0.000320405,0,0,0,0.002136031,0.190848464,0.197991855,0.172776704
1,3,0.004259749,0,0,0,0.004259749,0.000320405,0,0,0,0.002136031,0.190842143,0.197985534,0.215877873
1,4,0.00444067,0,0,0,0.00444067,0.000320405,0,0,0,0.002136031,0.19266513,0.199989441,0.210423302
1,5,0.005171418,0,0,0,0.005171418,0.000640809,0,0,0,0.004272062,0.212116061,0.223054763,0.190652727
1,6,0.008993215,0,0,0,0.008993215,0.000640809,0,0,0,0.004272062,0.250752355,0.265512854,0.277491529
1,7,0.010081338,0,0,0,0.010081338,0.001922428,0,0,0,0.012816187,0.310022471,0.337405662,0.286992803
1,8,0.019318066,0,0,0,0.019318066,0.005767284,0,0,0,0.038448561,0.548232648,0.619456272,0.546952908
1,9,0.019713402,0,0,0,0.019713402,0.005767284,0,0,0,0.038448561,0.55222361,0.62384257,0.631944558
1,10,0.019779897,0,0,0,0.019779897,0.005767284,0,0,0,0.038448561,0.55288962,0.624575074,0.696520039
1,11,0.020060258,0,0,0,0.020060258,0.005767284,0,0,0,0.038448561,0.555718064,0.62768388,0.69282342
1,12,0.019295026,0,0,0,0.019295026,0.005767284,0,0,0,0.038448561,0.5479744,0.619174984,0.619845014
1,13,0.019980801,0,0,0,0.019980801,0.005767284,0,0,0,0.038448561,0.554902018,0.626788375,0.71801832
1,14,0.019934025,0,0,0,0.019934025,0.005767284,0,0,0,0.038448561,0.554422742,0.626262325,0.679050578
1,15,0.019926757,0,0,0,0.019926757,0.005767284,0,0,0,0.038448561,0.554342937,0.626175252,0.7119603
1,16,0.020649771,0,0,0,0.020649771,0.005767284,0,0,0,0.038448561,0.561647085,0.634202413,0.710886771
1,17,0.018434617,0,0,0,0.018434617,0.004485665,0,0,0,0.029904436,0.490968788,0.549774394,0.527374806
1,18,0.01526569,0,0,0,0.01526569,0.003204047,0,0,0,0.021360311,0.41064679,0.4547489,0.50010332
1,19,0.014394269,0,0,0,0.014394269,0.003204047,0,0,0,0.021360311,0.40182943,0.445060119,0.484032321
1,20,0.011452802,0,0,0,0.011452802,0.001922428,0,0,0,0.012816187,0.323807315,0.35256197,0.301439358
1,21,0.010225208,0,0,0,0.010225208,0.001922428,0,0,0,0.012816187,0.311388647,0.338915708,0.377817603
1,22,0.005171398,0,0,0,0.005171398,0.000640809,0,0,0,0.004272062,0.212008388,0.22294707,0.195402664
1,23,0.00444067,0,0,0,0.00444067,0.000320405,0,0,0,0.002136031,0.192545015,0.199869327,0.205984274
2,0,0.004259749,0,0,0,0.004259749,0.000320405,0,0,0,0.002136031,0.190709383,0.197852775,0.191071497
