Type,Sn_kVA,PF,Pn_kW,IP,Instance_name,Profile
C1,1200,0.95,1080,192.168.10.141,BEMS_1,Prof_C_csv.csv
C2,1500,0.95,1350,192.168.10.141,BEMS_2,Prof_C_csv.csv
C3,1000,0.95,900,192.168.10.141,BEMS_3,Prof_C_csv.csv
C4,1000,0.95,900,192.168.10.142,BEMS_4,Prof_C_csv.csv
C5,1000,0.95,900,192.168.10.142,BEMS_5,Prof_C_csv.csv
C6,800,0.95,720,192.168.10.142,BEMS_6,Prof_C_csv.csv
P1,1200,0.95,1080,192.168.10.143,BEMS_7,Prof_P_csv.csv
P2,1000,0.95,900,192.168.10.143,BEMS_8,Prof_P_csv.csv
P3,1000,0.95,900,192.168.10.143,BEMS_9,Prof_P_csv.csv
P4,600,0.95,540,192.168.10.144,BEMS_10,Prof_P_csv.csv
P5,700,0.95,630,192.168.10.144,BEMS_11,Prof_P_csv.csv
P6,1000,0.95,900,192.168.10.144,BEMS_12,Prof_P_csv.csv
I1,300,0.95,270,192.168.10.145,BEMS_13,Prof_I_csv.csv
I2,250,0.95,225,192.168.10.145,BEMS_14,Prof_I_csv.csv
I3,300,0.95,270,192.168.10.145,BEMS_15,Prof_I_csv.csv
I4,600,0.95,540,192.168.10.146,BEMS_16,Prof_I_csv.csv
I5,400,0.95,360,192.168.10.146,BEMS_17,Prof_I_csv.csv
I6,600,0.95,540,192.168.10.146,BEMS_18,Prof_I_csv.csv
