Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.006626273,0.002302062,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.177552009,0.191507138,0.163679763
1,1,0.006626273,0.003035403,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.182453432,0.197141902,0.17721497
1,2,0.006626273,0.002282967,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.177411582,0.191347616,0.17441716
1,3,0.006907705,0.000861104,0,0.000320405,0.000469927,0.000391606,0.000284804,0,0,0.003560052,0.169618507,0.18241411,0.209510964
1,4,0.008044423,6.46E-05,0,0.000640809,0.000939854,0.000783211,0.000569608,0,0,0.007120104,0.184749989,0.20291261,0.190971582
1,5,0.019486732,0.005722515,0,0.000640809,0.000939854,0.000783211,0.000569608,0,0,0.007120104,0.292896559,0.328159392,0.361535019
1,6,0.021959326,0.00478419,0,0.001922428,0.002819561,0.002349634,0.001708825,0,0,0.021360312,0.355741384,0.41264566,0.400349306
1,7,0.034611954,0.00536933,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.599200004,0.729663568,0.838627888
1,8,0.033416909,0.006461982,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.599165056,0.729526227,0.643343092
1,9,0.032267621,0.007841595,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.601331614,0.73192311,0.712879739
1,10,0.032321662,0.009020781,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.609548737,0.74137346,0.838038969
1,11,0.031206385,0.008383385,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.598425778,0.728497828,0.775296097
1,12,0.032587322,0.009697239,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.615695069,0.74846191,0.685343547
1,13,0.032818325,0.010648532,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.623474111,0.757423248,0.798037386
1,14,0.032993406,0.011815211,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.632351063,0.76764196,0.712996101
1,15,0.03420232,0.012705402,0,0.005767284,0.008458683,0.007048903,0.005126475,0,0,0.064080935,0.645728357,0.783118359,0.791814702
1,16,0.03116351,0.011113887,0,0.004485665,0.006578976,0.00548248,0.003987258,0,0,0.049840727,0.562462241,0.675114744,0.733587447
1,17,0.026287988,0.007989159,0,0.003204047,0.004699269,0.003916057,0.002848042,0,0,0.035600519,0.457652736,0.542197817,0.473015388
