Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
1,0,0.004259747,0.001770817,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.182272528,0.191507138,0.186859233
1,1,0.004259747,0.002334925,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.187343183,0.197141902,0.170428561
1,2,0.004259747,0.001756129,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.182127693,0.191347616,0.213598832
1,3,0.004440668,0.000662387,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.174107008,0.18241411,0.202780102
1,4,0.005171415,4.97012E-05,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.1912834,0.20291261,0.20710867
1,5,0.012527185,0.004401934,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.304822179,0.328159392,0.342027991
1,6,0.01411671,0.003680146,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.375624524,0.41264566,0.421769802
1,7,0.022250542,0.004130254,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.645609931,0.729663568,0.734543682
1,8,0.021482299,0.004970755,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.645400332,0.729526227,0.653285082
1,9,0.020743471,0.006031996,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.647474802,0.73192311,0.795483938
1,10,0.020778212,0.006939062,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.655983345,0.74137346,0.838647645
1,11,0.020061248,0.006448758,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.644314982,0.728497828,0.770225292
1,12,0.020948993,0.007459414,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.662380662,0.74846191,0.650058184
1,13,0.021097495,0.008191178,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.670461734,0.757423248,0.86564169
1,14,0.021210047,0.009088624,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.679670448,0.76764196,0.827086027
1,15,0.021987205,0.009773386,0,0.005767284,0.007689712,0.005767284,0,0,0,0.038448561,0.693684926,0.783118359,0.877695263
1,16,0.020033685,0.008549144,0,0.004485665,0.005980887,0.004485665,0,0,0,0.029904436,0.601675261,0.675114744,0.705674966
1,17,0.016899421,0.006145507,0,0.003204047,0.004272062,0.003204047,0,0,0,0.021360311,0.487112422,0.542197817,0.509275462
1,18,0.017296177,0.00506291,0,0.003204047,0.004272062,0.003204047,0,0,0,0.021360311,0.481374372,0.535773926,0.568944917
1,19,0.015391087,0.004337055,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.394339893,0.433292316,0.445909832
1,20,0.015112617,0.004129862,0,0.001922428,0.002563237,0.001922428,0,0,0,0.012816187,0.389653184,0.428119943,0.428464858
1,21,0.006119509,0.001828384,0,0.000640809,0.000854412,0.000640809,0,0,0,0.004272062,0.216770359,0.231126345,0.250629992
1,22,0.004881991,0.002639091,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.196239486,0.206964615,0.179485361
1,23,0.005493734,0.001400282,0,0.000320405,0.000427206,0.000320405,0,0,0,0.002136031,0.191269297,0.201367361,0.171815854
