Name,Priority,Topic,cc,Consumption
w1,3,devices/building540/NIRE_WeMo_cc_1/w1,NIRE_WeMo_cc_1,100
w2,2,devices/building540/NIRE_WeMo_cc_1/w2,NIRE_WeMo_cc_1,200
w3,1,devices/building540/NIRE_WeMo_cc_1/w3,NIRE_WeMo_cc_1,420
w4,2,devices/building540/NIRE_WeMo_cc_1/w4,NIRE_WeMo_cc_1,130
w5,3,devices/building540/NIRE_WeMo_cc_1/w5,NIRE_WeMo_cc_1,50
w6,3,devices/building540/NIRE_WeMo_cc_1/w6,NIRE_WeMo_cc_1,220
w7,1,devices/building540/NIRE_WeMo_cc_1/w7,NIRE_WeMo_cc_1,220
w8,1,devices/building540/NIRE_WeMo_cc_1/w8,NIRE_WeMo_cc_1,70
w9,1,devices/building540/NIRE_WeMo_cc_1/w9,NIRE_WeMo_cc_1,200
w10,1,devices/building540/NIRE_WeMo_cc_1/w10,NIRE_WeMo_cc_1,100
